subregion,year,attributed_pixels,single_label_pixels,multi_label_pixels,pct_multi_label
SLBE,2010,4868,4754,114,2.3418
SLBE,2011,4145,4145,0,0.0
SLBE,2012,8578,8522,56,0.6528
SLBE,2013,3021,3021,0,0.0
SLBE,2014,10727,10598,129,1.2026
SLBE,2015,8930,8919,11,0.1232
SLBE,2016,11512,11502,10,0.0869
SLBE,2017,6593,6593,0,0.0
SLBE,2018,8148,8093,55,0.675
SLBE,2019,7262,7262,0,0.0
SLBE,2020,9242,9171,71,0.7682
SLBE,2021,6498,6498,0,0.0
VOYA,1995,31732,31695,37,0.1166
VOYA,1996,30534,30534,0,0.0
VOYA,1997,48880,48598,282,0.5769
VOYA,1998,34201,34015,186,0.5438
VOYA,1999,45451,45451,0,0.0
VOYA,2000,78071,72633,5438,6.9655
VOYA,2001,41551,40861,690,1.6606
VOYA,2002,33888,33888,0,0.0
VOYA,2003,47226,47128,98,0.2075
VOYA,2004,42820,42820,0,0.0
VOYA,2005,37144,36940,204,0.5492
VOYA,2006,22094,22062,32,0.1448
VOYA,2007,23472,23316,156,0.6646
VOYA,2008,19272,19272,0,0.0
VOYA,2009,25515,25421,94,0.3684
VOYA,2010,21812,21391,421,1.9301
VOYA,2011,26829,26691,138,0.5144
VOYA,2012,30515,30515,0,0.0
VOYA,2013,11993,11993,0,0.0
