subregion,subregion_name,native_class,pixel_count,area_ha,spatial_prevalence_pct
190101,Southern Southeast Alaska,western blackheaded budworm,967078,87037.02,30.636
190101,Southern Southeast Alaska,hemlock sawfly,936223,84260.07,29.659
190101,Southern Southeast Alaska,yellow-cedar decline,906985,81628.65,28.733
190101,Southern Southeast Alaska,spruce aphid,182445,16420.05,5.78
190101,Southern Southeast Alaska,unknown defoliator,64457,5801.13,2.042
190101,Southern Southeast Alaska,unknown,58967,5307.03,1.868
190101,Southern Southeast Alaska,spruce beetle,19613,1765.17,0.621
190101,Southern Southeast Alaska,flooding-high water,17993,1619.37,0.57
190101,Southern Southeast Alaska,mud-land slide,15906,1431.54,0.504
190101,Southern Southeast Alaska,wind-tornado/hurricane,14623,1316.07,0.463
190101,Southern Southeast Alaska,defoliators,14196,1277.64,0.45
190101,Southern Southeast Alaska,western gall rust,8170,735.3,0.259
190101,Southern Southeast Alaska,common porcupine,5047,454.23,0.16
190101,Southern Southeast Alaska,hemlock canker,3898,350.82,0.123
190101,Southern Southeast Alaska,Dothistroma needle blight (D. septosporum),3003,270.27,0.095
190101,Southern Southeast Alaska,mortality,1409,126.81,0.045
190101,Southern Southeast Alaska,birch leafroller,780,70.2,0.025
190101,Southern Southeast Alaska,Chrysomela leaf beetle,476,42.84,0.015
190101,Southern Southeast Alaska,fire,435,39.15,0.014
190101,Southern Southeast Alaska,large-spored spruce-Labrador tea rust,295,26.55,0.009
190101,Southern Southeast Alaska,unknown canker,14,1.26,0.0
190102,Central Southeast Alaska,western blackheaded budworm,3986010,358740.9,48.751
190102,Central Southeast Alaska,hemlock sawfly,2608642,234777.78,31.905
190102,Central Southeast Alaska,yellow-cedar decline,1263339,113700.51,15.451
190102,Central Southeast Alaska,spruce aphid,512905,46161.45,6.273
190102,Central Southeast Alaska,unknown defoliator,320707,28863.63,3.922
190102,Central Southeast Alaska,unknown,171900,15471.0,2.102
190102,Central Southeast Alaska,common porcupine,76581,6892.29,0.937
190102,Central Southeast Alaska,wind-tornado/hurricane,37958,3416.22,0.464
190102,Central Southeast Alaska,defoliators,32346,2911.14,0.396
190102,Central Southeast Alaska,spruce beetle,27416,2467.44,0.335
190102,Central Southeast Alaska,mud-land slide,24631,2216.79,0.301
190102,Central Southeast Alaska,flooding-high water,23825,2144.25,0.291
190102,Central Southeast Alaska,mortality,15805,1422.45,0.193
190102,Central Southeast Alaska,hemlock canker,13461,1211.49,0.165
190102,Central Southeast Alaska,large-spored spruce-Labrador tea rust,10218,919.62,0.125
190102,Central Southeast Alaska,western gall rust,3384,304.56,0.041
190102,Central Southeast Alaska,Dothistroma needle blight (D. septosporum),1373,123.57,0.017
190102,Central Southeast Alaska,decline complex,1100,99.0,0.013
190102,Central Southeast Alaska,Chrysomela leaf beetle,1021,91.89,0.012
190102,Central Southeast Alaska,<Dryocoetes autographus>,854,76.86,0.01
190102,Central Southeast Alaska,"other canker agent, known (code pending)",746,67.14,0.009
190102,Central Southeast Alaska,spruce budworm,518,46.62,0.006
190102,Central Southeast Alaska,birch leafroller,430,38.7,0.005
190102,Central Southeast Alaska,willow leaf blotchminer,402,36.18,0.005
190102,Central Southeast Alaska,skeletonizer,304,27.36,0.004
190102,Central Southeast Alaska,Lirula spruce needle blight,209,18.81,0.003
190102,Central Southeast Alaska,fire,150,13.5,0.002
190102,Central Southeast Alaska,unknown canker,146,13.14,0.002
190102,Central Southeast Alaska,"other wilt, known (code pending)",16,1.44,0.0
190103,Northern Southeast Alaska,western blackheaded budworm,814257,73283.13,38.929
190103,Northern Southeast Alaska,hemlock sawfly,251075,22596.75,12.004
190103,Northern Southeast Alaska,spruce aphid,247067,22236.03,11.812
190103,Northern Southeast Alaska,spruce beetle,236172,21255.48,11.291
190103,Northern Southeast Alaska,defoliators,107212,9649.08,5.126
190103,Northern Southeast Alaska,unknown defoliator,80049,7204.41,3.827
190103,Northern Southeast Alaska,Dothistroma needle blight (D. septosporum),70934,6384.06,3.391
190103,Northern Southeast Alaska,unknown,46452,4180.68,2.221
190103,Northern Southeast Alaska,birch leafroller,44982,4048.38,2.151
190103,Northern Southeast Alaska,flooding-high water,44559,4010.31,2.13
190103,Northern Southeast Alaska,western gall rust,40223,3620.07,1.923
190103,Northern Southeast Alaska,winter injury,22966,2066.94,1.098
190103,Northern Southeast Alaska,mud-land slide,18150,1633.5,0.868
190103,Northern Southeast Alaska,common porcupine,17349,1561.41,0.829
190103,Northern Southeast Alaska,Chrysomela leaf beetle,13333,1199.97,0.637
190103,Northern Southeast Alaska,wind-tornado/hurricane,12004,1080.36,0.574
190103,Northern Southeast Alaska,decline complex,11537,1038.33,0.552
190103,Northern Southeast Alaska,aspen leafminer,8760,788.4,0.419
190103,Northern Southeast Alaska,large-spored spruce-Labrador tea rust,7929,713.61,0.379
190103,Northern Southeast Alaska,unknown foliage or shoot disease,5406,486.54,0.258
190103,Northern Southeast Alaska,<Dryocoetes autographus>,5369,483.21,0.257
190103,Northern Southeast Alaska,willow leaf blotchminer,5352,481.68,0.256
190103,Northern Southeast Alaska,birch leafminer,4362,392.58,0.209
190103,Northern Southeast Alaska,cottonwood leafblotch miner,3172,285.48,0.152
190103,Northern Southeast Alaska,western balsam bark beetle,3118,280.62,0.149
190103,Northern Southeast Alaska,striped alder sawfly,2984,268.56,0.143
190103,Northern Southeast Alaska,subalpine fir mortality complex,1821,163.89,0.087
190103,Northern Southeast Alaska,"other canker agent, known (code pending)",1646,148.14,0.079
190103,Northern Southeast Alaska,mortality,1536,138.24,0.073
190103,Northern Southeast Alaska,spruce budworm,1262,113.58,0.06
190103,Northern Southeast Alaska,fire,959,86.31,0.046
190103,Northern Southeast Alaska,northern spruce engraver,572,51.48,0.027
190103,Northern Southeast Alaska,yellow-cedar decline,459,41.31,0.022
190103,Northern Southeast Alaska,leaf rusts of hardwoods,272,24.48,0.013
190103,Northern Southeast Alaska,dieback,168,15.12,0.008
190103,Northern Southeast Alaska,Lirula spruce needle blight,160,14.4,0.008
190103,Northern Southeast Alaska,snow-ice,94,8.46,0.004
190103,Northern Southeast Alaska,spruce bud moth,45,4.05,0.002
190103,Northern Southeast Alaska,hemlock canker,41,3.69,0.002
190201,Copper River,spruce beetle,1277486,114973.74,41.077
190201,Copper River,aspen leafminer,843931,75953.79,27.136
190201,Copper River,defoliators,425289,38276.01,13.675
190201,Copper River,dieback,263714,23734.26,8.48
190201,Copper River,unknown defoliator,91821,8263.89,2.952
190201,Copper River,western blackheaded budworm,64913,5842.17,2.087
190201,Copper River,large aspen tortrix,55627,5006.43,1.789
190201,Copper River,willow leaf blotchminer,47882,4309.38,1.54
190201,Copper River,spruce broom rust,29069,2616.21,0.935
190201,Copper River,birch leafroller,27892,2510.28,0.897
190201,Copper River,large-spored spruce-Labrador tea rust,25802,2322.18,0.83
190201,Copper River,canker (general),21336,1920.24,0.686
190201,Copper River,Chrysomela leaf beetle,19443,1749.87,0.625
190201,Copper River,flooding-high water,17081,1537.29,0.549
190201,Copper River,"other canker agent, known (code pending)",11663,1049.67,0.375
190201,Copper River,birch leafminer,7218,649.62,0.232
190201,Copper River,willow leafblotch miner,6600,594.0,0.212
190201,Copper River,northern spruce engraver,4383,394.47,0.141
190201,Copper River,unknown canker,3982,358.38,0.128
190201,Copper River,decline complex,3493,314.37,0.112
190201,Copper River,spear-marked black moth,3165,284.85,0.102
190201,Copper River,mud-land slide,1835,165.15,0.059
190201,Copper River,winter injury,956,86.04,0.031
190201,Copper River,wind-tornado/hurricane,466,41.94,0.015
190201,Copper River,spruce aphid,336,30.24,0.011
190201,Copper River,spruce budworm,294,26.46,0.009
190201,Copper River,fire,217,19.53,0.007
190201,Copper River,cottonwood leafminers,211,18.99,0.007
190201,Copper River,unknown,149,13.41,0.005
190201,Copper River,speckled green fruitworm,132,11.88,0.004
190201,Copper River,snow-ice,63,5.67,0.002
190201,Copper River,volcano,20,1.8,0.001
190202,Prince William Sound,western blackheaded budworm,417394,37565.46,71.946
190202,Prince William Sound,defoliators,40473,3642.57,6.976
190202,Prince William Sound,spruce aphid,32033,2882.97,5.521
190202,Prince William Sound,mortality,28009,2520.81,4.828
190202,Prince William Sound,spruce beetle,20942,1884.78,3.61
190202,Prince William Sound,dieback,13407,1206.63,2.311
190202,Prince William Sound,flooding-high water,10965,986.85,1.89
190202,Prince William Sound,decline complex,7113,640.17,1.226
190202,Prince William Sound,unknown,4942,444.78,0.852
190202,Prince William Sound,unknown defoliator,1974,177.66,0.34
190202,Prince William Sound,unknown canker,730,65.7,0.126
190202,Prince William Sound,wind-tornado/hurricane,564,50.76,0.097
190202,Prince William Sound,Chrysomela leaf beetle,516,46.44,0.089
190202,Prince William Sound,"other canker agent, known (code pending)",423,38.07,0.073
190202,Prince William Sound,common porcupine,246,22.14,0.042
190202,Prince William Sound,canker (general),201,18.09,0.035
190202,Prince William Sound,mud-land slide,160,14.4,0.028
190202,Prince William Sound,"other wilt, known (code pending)",31,2.79,0.005
190202,Prince William Sound,willow leaf blotchminer,22,1.98,0.004
190202,Prince William Sound,snow-ice,8,0.72,0.001
190203,Kenai Peninsula,spruce beetle,4601569,414141.21,71.361
190203,Kenai Peninsula,birch leafminer,737809,66402.81,11.442
190203,Kenai Peninsula,unknown defoliator,254278,22885.02,3.943
190203,Kenai Peninsula,defoliators,224725,20225.25,3.485
190203,Kenai Peninsula,birch leafroller,113774,10239.66,1.764
190203,Kenai Peninsula,spruce aphid,81901,7371.09,1.27
190203,Kenai Peninsula,large aspen tortrix,71610,6444.9,1.111
190203,Kenai Peninsula,spear-marked black moth,65463,5891.67,1.015
190203,Kenai Peninsula,fire,58270,5244.3,0.904
190203,Kenai Peninsula,large-spored spruce-Labrador tea rust,52465,4721.85,0.814
190203,Kenai Peninsula,aspen leafminer,43348,3901.32,0.672
190203,Kenai Peninsula,dieback,31682,2851.38,0.491
190203,Kenai Peninsula,decline complex,29068,2616.12,0.451
190203,Kenai Peninsula,flooding-high water,18366,1652.94,0.285
190203,Kenai Peninsula,willow leaf blotchminer,12906,1161.54,0.2
190203,Kenai Peninsula,western blackheaded budworm,11240,1011.6,0.174
190203,Kenai Peninsula,hemlock sawfly,9927,893.43,0.154
190203,Kenai Peninsula,Chrysomela leaf beetle,9209,828.81,0.143
190203,Kenai Peninsula,unknown foliage or shoot disease,7957,716.13,0.123
190203,Kenai Peninsula,canker (general),5066,455.94,0.079
