subregion,subregion_name,year,native_class,pixel_count,area_ha
190202,Prince William Sound,1997,flooding-high water,2235,201.15
190202,Prince William Sound,1997,mud-land slide,128,11.52
190202,Prince William Sound,1997,spruce beetle,804,72.36
190202,Prince William Sound,1997,western blackheaded budworm,78031,7022.79
190202,Prince William Sound,1997,wind-tornado/hurricane,444,39.96
190202,Prince William Sound,1998,Chrysomela leaf beetle,516,46.44
190202,Prince William Sound,1998,defoliators,39,3.51
190202,Prince William Sound,1998,flooding-high water,135,12.15
190202,Prince William Sound,1998,spruce beetle,808,72.72
190202,Prince William Sound,1999,spruce beetle,2364,212.76
190202,Prince William Sound,1999,western blackheaded budworm,261,23.49
190202,Prince William Sound,2001,flooding-high water,613,55.17
190202,Prince William Sound,2001,western blackheaded budworm,56752,5107.68
190202,Prince William Sound,2002,defoliators,107,9.63
190202,Prince William Sound,2002,spruce beetle,3,0.27
190202,Prince William Sound,2002,western blackheaded budworm,13467,1212.03
190202,Prince William Sound,2003,defoliators,252,22.68
190202,Prince William Sound,2003,spruce aphid,51,4.59
190202,Prince William Sound,2003,western blackheaded budworm,5701,513.09
190202,Prince William Sound,2003,wind-tornado/hurricane,20,1.8
190202,Prince William Sound,2004,flooding-high water,938,84.42
190202,Prince William Sound,2004,western blackheaded budworm,468,42.12
190202,Prince William Sound,2005,defoliators,10690,962.1
190202,Prince William Sound,2005,flooding-high water,1318,118.62
190202,Prince William Sound,2005,spruce aphid,20570,1851.3
190202,Prince William Sound,2005,spruce beetle,581,52.29
190202,Prince William Sound,2005,western blackheaded budworm,6291,566.19
190202,Prince William Sound,2006,flooding-high water,1866,167.94
190202,Prince William Sound,2006,western blackheaded budworm,2358,212.22
190202,Prince William Sound,2007,flooding-high water,734,66.06
190202,Prince William Sound,2007,spruce aphid,2916,262.44
190202,Prince William Sound,2007,spruce beetle,495,44.55
190202,Prince William Sound,2007,western blackheaded budworm,30611,2754.99
190202,Prince William Sound,2008,common porcupine,246,22.14
190202,Prince William Sound,2008,flooding-high water,395,35.55
190202,Prince William Sound,2008,mud-land slide,32,2.88
190202,Prince William Sound,2008,western blackheaded budworm,8893,800.37
190202,Prince William Sound,2008,wind-tornado/hurricane,14,1.26
190202,Prince William Sound,2009,decline complex,908,81.72
190202,Prince William Sound,2009,western blackheaded budworm,2898,260.82
190202,Prince William Sound,2010,canker (general),201,18.09
190202,Prince William Sound,2010,spruce beetle,282,25.38
190202,Prince William Sound,2011,defoliators,11670,1050.3
190202,Prince William Sound,2011,dieback,13407,1206.63
190202,Prince William Sound,2011,flooding-high water,149,13.41
190202,Prince William Sound,2011,mortality,28009,2520.81
190202,Prince William Sound,2011,spruce beetle,3800,342.0
190202,Prince William Sound,2011,willow leaf blotchminer,22,1.98
190202,Prince William Sound,2012,defoliators,15722,1414.98
190202,Prince William Sound,2012,flooding-high water,73,6.57
190202,Prince William Sound,2012,"other wilt, known (code pending)",31,2.79
190202,Prince William Sound,2013,decline complex,127,11.43
190202,Prince William Sound,2013,defoliators,1952,175.68
190202,Prince William Sound,2013,flooding-high water,20,1.8
190202,Prince William Sound,2014,decline complex,6078,547.02
190202,Prince William Sound,2014,defoliators,41,3.69
190202,Prince William Sound,2014,flooding-high water,344,30.96
190202,Prince William Sound,2015,flooding-high water,686,61.74
190202,Prince William Sound,2015,spruce aphid,4100,369.0
190202,Prince William Sound,2015,unknown canker,181,16.29
190202,Prince William Sound,2015,unknown defoliator,173,15.57
190202,Prince William Sound,2016,flooding-high water,899,80.91
190202,Prince William Sound,2016,spruce aphid,4396,395.64
190202,Prince William Sound,2016,spruce beetle,572,51.48
190202,Prince William Sound,2016,unknown canker,549,49.41
190202,Prince William Sound,2016,unknown defoliator,361,32.49
190202,Prince William Sound,2017,unknown,4790,431.1
190202,Prince William Sound,2017,unknown defoliator,54,4.86
190202,Prince William Sound,2017,wind-tornado/hurricane,41,3.69
190202,Prince William Sound,2018,"other canker agent, known (code pending)",76,6.84
190202,Prince William Sound,2018,spruce beetle,1507,135.63
190202,Prince William Sound,2018,unknown,122,10.98
190202,Prince William Sound,2018,unknown defoliator,304,27.36
190202,Prince William Sound,2018,wind-tornado/hurricane,25,2.25
190202,Prince William Sound,2020,spruce beetle,8380,754.2
190202,Prince William Sound,2020,wind-tornado/hurricane,20,1.8
190202,Prince William Sound,2021,flooding-high water,255,22.95
190202,Prince William Sound,2021,spruce beetle,74,6.66
190202,Prince William Sound,2022,spruce beetle,80,7.2
190202,Prince William Sound,2022,unknown defoliator,415,37.35
190202,Prince William Sound,2023,spruce beetle,1082,97.38
