subregion,year,native_class,pixel_count,area_ha
ISRO,1997,beaver,535,48.15
ISRO,1997,development,2203,198.27
ISRO,1997,harvest,30955,2785.95
ISRO,1997,insect_disease_defo,4683,421.47
ISRO,1997,unknown,48,4.32
ISRO,1998,beaver,294,26.46
ISRO,1998,blowdown,10,0.9
ISRO,1998,development,1529,137.61
ISRO,1998,harvest,41551,3739.59
ISRO,1998,insect_disease_defo,111292,10016.28
ISRO,1998,insect_disease_mort,1343,120.87
ISRO,1998,unknown,46,4.14
ISRO,1999,agriculture,21,1.89
ISRO,1999,beaver,137,12.33
ISRO,1999,development,717,64.53
ISRO,1999,harvest,32314,2908.26
ISRO,1999,insect_disease_defo,14778,1330.02
ISRO,2000,agriculture,21,1.89
ISRO,2000,beaver,412,37.08
ISRO,2000,blowdown,24,2.16
ISRO,2000,development,942,84.78
ISRO,2000,harvest,28067,2526.03
ISRO,2000,insect_disease_defo,29427,2648.43
ISRO,2000,unknown,27,2.43
ISRO,2001,beaver,2942,264.78
ISRO,2001,development,1220,109.8
ISRO,2001,harvest,36793,3311.37
ISRO,2001,insect_disease_defo,417919,37612.71
ISRO,2001,insect_disease_mort,65,5.85
ISRO,2001,unknown,88,7.92
ISRO,2002,agriculture,301,27.09
ISRO,2002,beaver,281,25.29
ISRO,2002,blowdown,16,1.44
ISRO,2002,development,1041,93.69
ISRO,2002,harvest,34929,3143.61
ISRO,2002,insect_disease_defo,10753,967.77
ISRO,2002,unknown,9,0.81
ISRO,2003,beaver,576,51.84
ISRO,2003,development,2201,198.09
ISRO,2003,harvest,36593,3293.37
ISRO,2003,unknown,44,3.96
ISRO,2004,agriculture,18,1.62
ISRO,2004,beaver,688,61.92
ISRO,2004,development,997,89.73
ISRO,2004,harvest,41313,3718.17
ISRO,2004,unknown,14,1.26
ISRO,2005,agriculture,164,14.76
ISRO,2005,beaver,951,85.59
ISRO,2005,development,2390,215.1
ISRO,2005,harvest,49362,4442.58
ISRO,2005,unknown,24,2.16
ISRO,2006,agriculture,119,10.71
ISRO,2006,beaver,1092,98.28
ISRO,2006,development,1412,127.08
ISRO,2006,harvest,42534,3828.06
ISRO,2006,unknown,9,0.81
ISRO,2007,beaver,537,48.33
ISRO,2007,development,919,82.71
ISRO,2007,harvest,23114,2080.26
ISRO,2008,beaver,1182,106.38
ISRO,2008,blowdown,13,1.17
ISRO,2008,development,579,52.11
ISRO,2008,harvest,22159,1994.31
ISRO,2008,unknown,29,2.61
ISRO,2009,agriculture,527,47.43
ISRO,2009,beaver,977,87.93
ISRO,2009,development,2340,210.6
ISRO,2009,harvest,17885,1609.65
ISRO,2010,agriculture,213,19.17
ISRO,2010,beaver,311,27.99
ISRO,2010,blowdown,11,0.99
ISRO,2010,development,1614,145.26
ISRO,2010,harvest,19616,1765.44
ISRO,2011,beaver,553,49.77
ISRO,2011,blowdown,281,25.29
ISRO,2011,development,4343,390.87
ISRO,2011,harvest,28375,2553.75
ISRO,2012,agriculture,44,3.96
ISRO,2012,beaver,1796,161.64
ISRO,2012,blowdown,152,13.68
ISRO,2012,development,2753,247.77
ISRO,2012,harvest,24319,2188.71
ISRO,2013,agriculture,9,0.81
ISRO,2013,beaver,1765,158.85
ISRO,2013,development,3353,301.77
ISRO,2013,fire,217,19.53
ISRO,2013,harvest,13998,1259.82
ISRO,2014,agriculture,702,63.18
ISRO,2014,beaver,974,87.66
ISRO,2014,development,1428,128.52
ISRO,2014,harvest,18295,1646.55
ISRO,2014,unknown,24,2.16
ISRO,2015,agriculture,343,30.87
ISRO,2015,beaver,1124,101.16
ISRO,2015,development,2119,190.71
ISRO,2015,harvest,17202,1548.18
ISRO,2015,insect_disease_mort,29,2.61
ISRO,2015,unknown,55,4.95
ISRO,2016,agriculture,17,1.53
ISRO,2016,beaver,640,57.6
ISRO,2016,blowdown,94,8.46
ISRO,2016,development,1889,170.01
ISRO,2016,harvest,17626,1586.34
ISRO,2016,unknown,31,2.79
ISRO,2017,agriculture,520,46.8
ISRO,2017,beaver,1454,130.86
