subregion,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
MORA,2003,Blowdown,56,5.04,0.565
MORA,2003,Riparian Change,10,0.9,0.101
MORA,2004,Defoliation,2862,257.58,46.826
MORA,2004,Fire,2318,208.62,37.925
MORA,2004,Riparian Change,809,72.81,13.236
MORA,2004,Blowdown,111,9.99,1.816
MORA,2004,Mass Movement,12,1.08,0.196
MORA,2005,Defoliation,154,13.86,59.922
MORA,2005,Riparian Change,103,9.27,40.078
MORA,2006,Defoliation,3409,306.81,73.565
MORA,2006,Riparian Change,1188,106.92,25.637
MORA,2006,Mass Movement,24,2.16,0.518
MORA,2006,Clearing,13,1.17,0.281
MORA,2007,Riparian Change,4340,390.6,85.282
MORA,2007,Fire,291,26.19,5.718
MORA,2007,Defoliation,193,17.37,3.792
MORA,2007,Mass Movement,129,11.61,2.535
MORA,2007,Blowdown,125,11.25,2.456
MORA,2007,Avalanche,11,0.99,0.216
MORA,2008,Blowdown,474,42.66,42.818
MORA,2008,Avalanche,398,35.82,35.953
MORA,2008,Riparian Change,191,17.19,17.254
MORA,2008,Mass Movement,33,2.97,2.981
MORA,2008,Defoliation,11,0.99,0.994
MORA,2009,Fire,1310,117.9,84.19
MORA,2009,Riparian Change,185,16.65,11.889
MORA,2009,Mass Movement,49,4.41,3.149
MORA,2009,Defoliation,12,1.08,0.771
MORA,2010,Fire,214,19.26,70.861
MORA,2010,Blowdown,47,4.23,15.563
MORA,2010,Defoliation,32,2.88,10.596
MORA,2010,Riparian Change,9,0.81,2.98
MORA,2011,Blowdown,195,17.55,65.436
MORA,2011,Avalanche,52,4.68,17.45
MORA,2011,Riparian Change,29,2.61,9.732
MORA,2011,Defoliation,22,1.98,7.383
MORA,2012,Fire,1099,98.91,97.95
MORA,2012,Avalanche,23,2.07,2.05
MORA,2013,Riparian Change,10,0.9,100.0
MORA,2014,Fire,441,39.69,78.33
MORA,2014,Avalanche,97,8.73,17.229
MORA,2014,Mass Movement,25,2.25,4.44
MORA,2015,Mass Movement,65,5.85,63.725
MORA,2015,Defoliation,26,2.34,25.49
MORA,2015,Riparian Change,11,0.99,10.784
MORA,2016,Mass Movement,178,16.02,48.108
MORA,2016,Blowdown,103,9.27,27.838
MORA,2016,Riparian Change,89,8.01,24.054
MORA,2017,Fire,183047,16474.23,99.957
MORA,2017,Defoliation,57,5.13,0.031
MORA,2017,Avalanche,22,1.98,0.012
NOCA,1987,Fire,261,23.49,44.088
NOCA,1987,Clearing,193,17.37,32.601
NOCA,1987,Development,66,5.94,11.149
NOCA,1987,Mass Movement,63,5.67,10.642
NOCA,1987,Defoliation,9,0.81,1.52
NOCA,1988,Clearing,593,53.37,56.422
NOCA,1988,Fire,395,35.55,37.583
NOCA,1988,Avalanche,40,3.6,3.806
NOCA,1988,Mass Movement,23,2.07,2.188
NOCA,1989,Fire,600,54.0,56.764
NOCA,1989,Avalanche,400,36.0,37.843
NOCA,1989,Defoliation,22,1.98,2.081
NOCA,1989,Mass Movement,21,1.89,1.987
NOCA,1989,Clearing,14,1.26,1.325
NOCA,1990,Avalanche,7036,633.24,65.124
NOCA,1990,Fire,3183,286.47,29.461
NOCA,1990,Mass Movement,257,23.13,2.379
NOCA,1990,Defoliation,206,18.54,1.907
NOCA,1990,Riparian Change,71,6.39,0.657
NOCA,1990,Blowdown,51,4.59,0.472
NOCA,1991,Mass Movement,318,28.62,30.257
NOCA,1991,Defoliation,264,23.76,25.119
NOCA,1991,Riparian Change,182,16.38,17.317
NOCA,1991,Avalanche,152,13.68,14.462
NOCA,1991,Development,50,4.5,4.757
NOCA,1991,Fire,47,4.23,4.472
NOCA,1991,Blowdown,27,2.43,2.569
NOCA,1991,Clearing,11,0.99,1.047
NOCA,1992,Fire,207,18.63,44.902
NOCA,1992,Mass Movement,178,16.02,38.612
NOCA,1992,Defoliation,65,5.85,14.1
NOCA,1992,Blowdown,11,0.99,2.386
NOCA,1993,Defoliation,339,30.51,80.142
NOCA,1993,Mass Movement,60,5.4,14.184
NOCA,1993,Avalanche,14,1.26,3.31
NOCA,1993,Fire,10,0.9,2.364
NOCA,1994,Fire,21003,1890.27,99.507
NOCA,1994,Avalanche,84,7.56,0.398
NOCA,1994,Defoliation,20,1.8,0.095
NOCA,1995,Fire,1656,149.04,94.037
NOCA,1995,Defoliation,41,3.69,2.328
NOCA,1995,Mass Movement,35,3.15,1.988
NOCA,1995,Riparian Change,21,1.89,1.193
NOCA,1995,Avalanche,8,0.72,0.454
NOCA,1996,Fire,13783,1240.47,89.477
NOCA,1996,Riparian Change,658,59.22,4.272
NOCA,1996,Avalanche,498,44.82,3.233
NOCA,1996,Mass Movement,300,27.0,1.948
NOCA,1996,Defoliation,146,13.14,0.948
NOCA,1996,Clearing,19,1.71,0.123
NOCA,1997,Fire,1775,159.75,50.642
NOCA,1997,Avalanche,1302,117.18,37.147
NOCA,1997,Defoliation,206,18.54,5.877
NOCA,1997,Mass Movement,100,9.0,2.853
NOCA,1997,Riparian Change,85,7.65,2.425
NOCA,1997,Clearing,21,1.89,0.599
NOCA,1997,Development,17,1.53,0.485
NOCA,1998,Fire,717,64.53,75.0
NOCA,1998,Defoliation,100,9.0,10.46
NOCA,1998,Clearing,53,4.77,5.544
NOCA,1998,Avalanche,44,3.96,4.603
NOCA,1998,Mass Movement,32,2.88,3.347
NOCA,1998,Riparian Change,10,0.9,1.046
NOCA,1999,Fire,406,36.54,38.926
NOCA,1999,Avalanche,274,24.66,26.27
NOCA,1999,Blowdown,167,15.03,16.012
NOCA,1999,Mass Movement,106,9.54,10.163
NOCA,1999,Development,46,4.14,4.41
NOCA,1999,Defoliation,44,3.96,4.219
NOCA,2000,Fire,2039,183.51,75.715
NOCA,2000,Defoliation,442,39.78,16.413
NOCA,2000,Mass Movement,117,10.53,4.345
NOCA,2000,Avalanche,84,7.56,3.119
NOCA,2000,Riparian Change,11,0.99,0.408
NOCA,2001,Fire,109057,9815.13,99.427
NOCA,2001,Defoliation,569,51.21,0.519
NOCA,2001,Mass Movement,40,3.6,0.036
NOCA,2001,Clearing,20,1.8,0.018
NOCA,2002,Avalanche,2256,203.04,70.215
NOCA,2002,Defoliation,543,48.87,16.9
NOCA,2002,Mass Movement,307,27.63,9.555
NOCA,2002,Riparian Change,61,5.49,1.899
