subregion,subregion_name,native_class,pixel_count,area_ha
1,Coast Range,Cytospora canker of fir,49376,4443.84
1,Coast Range,Douglas-fir beetle,660805,59472.45
1,Coast Range,Douglas-fir engraver,44498,4004.82
1,Coast Range,Douglas-fir rust,5688,511.92
1,Coast Range,Lophodermium needle cast of pines,2432,218.88
1,Coast Range,Pacific madrone decline,456,41.04
1,Coast Range,Port-Orford-cedar root disease,562116,50590.44
1,Coast Range,Swiss needle cast,11979260,1078133.4
1,Coast Range,alder flea beetle,230,20.7
1,Coast Range,balsam woolly adelgid,167691,15092.19
1,Coast Range,bears,9467066,852035.94
1,Coast Range,black stain root disease,3697,332.73
1,Coast Range,decline complex,26317,2368.53
1,Coast Range,drought,5428,488.52
1,Coast Range,false hemlock looper,132,11.88
1,Coast Range,fir engraver,565478,50893.02
1,Coast Range,fire,10438,939.42
1,Coast Range,flatheaded borer,18163,1634.67
1,Coast Range,flatheaded fir borer,24738,2226.42
1,Coast Range,flooding-high water,20256,1823.04
1,Coast Range,foliage discoloration,16360,1472.4
1,Coast Range,frost,19588,1762.92
1,Coast Range,gorse,1882,169.38
1,Coast Range,hail,16,1.44
1,Coast Range,hardwood leaf rusts,6236,561.24
1,Coast Range,heat,919314,82738.26
1,Coast Range,hemlock decline,203115,18280.35
1,Coast Range,hemlock sawfly,252,22.68
1,Coast Range,ips engraver beetles,129,11.61
1,Coast Range,larch needle cast,28,2.52
1,Coast Range,leaf rusts of hardwoods,985,88.65
1,Coast Range,maple decline,3174,285.66
1,Coast Range,mortality,4651,418.59
1,Coast Range,mountain pine beetle,19106,1719.54
1,Coast Range,mud-land slide,6386,574.74
1,Coast Range,needlecast,100729,9065.61
1,Coast Range,oak pit scale A. minus,1092,98.28
1,Coast Range,"other pest complex, known (code pending)",983,88.47
1,Coast Range,"other root disease or decay, known (code pending)",45,4.05
1,Coast Range,pine engraver,4072,366.48
1,Coast Range,pine needle sheathminer,519,46.71
1,Coast Range,ponderosa pine sawfly,14,1.26
1,Coast Range,root disease or bears,268032,24122.88
1,Coast Range,root diseases/decay,33851,3046.59
1,Coast Range,sawflies,7620,685.8
1,Coast Range,silver fir beetle,313,28.17
1,Coast Range,snow-ice,26546,2389.14
1,Coast Range,spruce aphid,256705,23103.45
1,Coast Range,spruce beetle,13201,1188.09
1,Coast Range,tent caterpillars,4662,419.58
1,Coast Range,unknown,1071657,96449.13
1,Coast Range,unknown defoliator,16576,1491.84
1,Coast Range,unknown root disease or decay,17047,1534.23
1,Coast Range,western balsam bark beetle,16158,1454.22
1,Coast Range,western blackheaded budworm,65641,5907.69
1,Coast Range,western pine beetle,7913,712.17
1,Coast Range,western tent caterpillar,95165,8564.85
1,Coast Range,white pine blister rust,4316,388.44
1,Coast Range,wild fire,1779,160.11
1,Coast Range,wind-tornado/hurricane,271995,24479.55
1,Coast Range,winter injury,19256,1733.04
11,Blue Mountains,Cytospora canker of fir,2782,250.38
11,Blue Mountains,Diplodia canker,6704,603.36
11,Blue Mountains,Douglas-fir beetle,2524272,227184.48
11,Blue Mountains,Douglas-fir engraver,21462,1931.58
11,Blue Mountains,Douglas-fir tussock moth,1667292,150056.28
11,Blue Mountains,Gelechiid moths/needleminers,122451,11020.59
11,Blue Mountains,Lophodermium needle cast of pines,28374,2553.66
11,Blue Mountains,balsam woolly adelgid,4694440,422499.6
11,Blue Mountains,bears,1305,117.45
11,Blue Mountains,black pineleaf scale,13221,1189.89
11,Blue Mountains,decline complex,8260,743.4
11,Blue Mountains,drought,7159,644.31
11,Blue Mountains,fir engraver,14492031,1304282.79
11,Blue Mountains,fire,447088,40237.92
11,Blue Mountains,flooding-high water,374,33.66
11,Blue Mountains,foliage discoloration,20365,1832.85
11,Blue Mountains,frost,125,11.25
11,Blue Mountains,hail,468,42.12
11,Blue Mountains,ips engraver beetles,59286,5335.74
11,Blue Mountains,larch casebearer,783806,70542.54
11,Blue Mountains,larch needle cast,92195,8297.55
11,Blue Mountains,loopers,610,54.9
11,Blue Mountains,mountain pine beetle,6576073,591846.57
11,Blue Mountains,mud-land slide,405,36.45
11,Blue Mountains,needlecast,173615,15625.35
11,Blue Mountains,no data,29,2.61
11,Blue Mountains,pine butterfly,1657476,149172.84
11,Blue Mountains,pine engraver,59695,5372.55
11,Blue Mountains,pine needle sheathminer,658,59.22
11,Blue Mountains,ponderosa pine sawfly,52518,4726.62
11,Blue Mountains,root diseases/decay,447,40.23
11,Blue Mountains,satin moth,15946,1435.14
11,Blue Mountains,sawflies,112,10.08
11,Blue Mountains,silver fir beetle,65,5.85
11,Blue Mountains,snow-ice,8463,761.67
11,Blue Mountains,spruce aphid,585,52.65
11,Blue Mountains,spruce beetle,28306,2547.54
11,Blue Mountains,unknown,46615,4195.35
11,Blue Mountains,unknown defoliator,9578,862.02
11,Blue Mountains,unknown root disease or decay,30,2.7
11,Blue Mountains,western balsam bark beetle,95546,8599.14
11,Blue Mountains,western pine beetle,5659567,509361.03
11,Blue Mountains,western spruce budworm,2922139,262992.51
11,Blue Mountains,western tent caterpillar,726,65.34
11,Blue Mountains,white pine blister rust,63551,5719.59
11,Blue Mountains,wild fire,240023,21602.07
11,Blue Mountains,wind-tornado/hurricane,1266,113.94
11,Blue Mountains,winter injury,1227,110.43
15,Northern Rockies,Diplodia canker,75,6.75
15,Northern Rockies,Douglas-fir beetle,2355854,212026.86
15,Northern Rockies,Douglas-fir engraver,234719,21124.71
15,Northern Rockies,Douglas-fir needle midge,8737,786.33
15,Northern Rockies,Douglas-fir rust,631,56.79
15,Northern Rockies,Douglas-fir tussock moth,19913,1792.17
15,Northern Rockies,Gelechiid moths/needleminers,3842,345.78
15,Northern Rockies,Lophodermella needle cast of pines,668,60.12
15,Northern Rockies,Lophodermium needle cast of pines,47151,4243.59
15,Northern Rockies,balsam woolly adelgid,156772,14109.48
15,Northern Rockies,bears,224171,20175.39
15,Northern Rockies,birch leafminer,1502,135.18
15,Northern Rockies,black pineleaf scale,7244,651.96
15,Northern Rockies,decline complex,22630,2036.7
15,Northern Rockies,dieback,58,5.22
15,Northern Rockies,drought,6289,566.01
15,Northern Rockies,fir engraver,4199895,377990.55
15,Northern Rockies,fire,353977,31857.93
15,Northern Rockies,flatheaded fir borer,35,3.15
15,Northern Rockies,flooding-high water,2605,234.45
15,Northern Rockies,foliage discoloration,8429,758.61
15,Northern Rockies,frost,4700,423.0
15,Northern Rockies,green larch looper,1077,96.93
15,Northern Rockies,ips engraver beetles,97783,8800.47
15,Northern Rockies,larch bud moth,9584,862.56
15,Northern Rockies,larch casebearer,357722,32194.98
15,Northern Rockies,larch needle cast,1840148,165613.32
15,Northern Rockies,maple decline,9,0.81
15,Northern Rockies,mortality,42,3.78
15,Northern Rockies,mountain pine beetle,4241484,381733.56
15,Northern Rockies,mud-land slide,252,22.68
15,Northern Rockies,needlecast,269487,24253.83
15,Northern Rockies,no data,265,23.85
15,Northern Rockies,pine engraver,93925,8453.25
15,Northern Rockies,pine needle scale,3361,302.49
15,Northern Rockies,ponderosa pine sawfly,4290,386.1
15,Northern Rockies,root disease or bears,6504,585.36
15,Northern Rockies,root diseases/decay,9497,854.73
15,Northern Rockies,satin moth,15679,1411.11
15,Northern Rockies,sawflies,2262,203.58
15,Northern Rockies,silver fir beetle,2015,181.35
15,Northern Rockies,snow-ice,96,8.64
15,Northern Rockies,spruce aphid,216,19.44
15,Northern Rockies,spruce beetle,63650,5728.5
15,Northern Rockies,unknown,709236,63831.24
15,Northern Rockies,unknown defoliator,5711,513.99
15,Northern Rockies,unknown root disease or decay,5734,516.06
15,Northern Rockies,western balsam bark beetle,721994,64979.46
15,Northern Rockies,western oak looper,51,4.59
15,Northern Rockies,western pine beetle,1713043,154173.87
15,Northern Rockies,western spruce budworm,3330789,299771.01
15,Northern Rockies,western tent caterpillar,4465,401.85
15,Northern Rockies,white pine blister rust,1710,153.9
15,Northern Rockies,wild fire,37096,3338.64
15,Northern Rockies,wind-tornado/hurricane,18269,1644.21
15,Northern Rockies,winter injury,7208,648.72
4,Cascades,Cooley spruce gall adelgid,150,13.5
4,Cascades,Cytospora canker of fir,1215246,109372.14
4,Cascades,Diplodia canker,324,29.16
4,Cascades,Douglas-fir beetle,1921559,172940.31
4,Cascades,Douglas-fir budmoth,109,9.81
4,Cascades,Douglas-fir engraver,48162,4334.58
4,Cascades,Douglas-fir tussock moth,5060,455.4
4,Cascades,Gelechiid moths/needleminers,4388,394.92
4,Cascades,Lophodermella needle cast of pines,31879,2869.11
4,Cascades,Lophodermium needle cast of pines,134871,12138.39
4,Cascades,Pacific madrone decline,96,8.64
