us_l3code,SURVEY_YEA,DCA_COMMON,area_m2
78,2020,unknown,9.160350684503607
78,2020,unknown,97.43400209550566
78,2020,unknown,63.99714118068097
78,2020,unknown,63.04112946753786
78,2020,unknown,101.96362067122281
78,2020,unknown,31.303494873342792
78,2020,unknown,49.800701081519875
78,2020,unknown,84.98671595983645
78,2020,unknown,19.01724290523859
78,2020,unknown,27.296611334011267
78,2020,unknown,5.432861492048336
78,2020,unknown,34.823586998226425
78,2020,unknown,29.951499225846867
78,2020,unknown,279.3587317417907
78,2020,unknown,103.76653240701665
78,2020,unknown,86.7123616713189
78,2020,unknown,67.69832481601344
78,2020,unknown,27.618360881684122
1,2020,unknown,29.837922375471965
1,2020,unknown,74.5636072167139
1,2020,unknown,16.924462912145575
1,2020,unknown,159.63259111161875
1,2020,unknown,97.28771754335149
1,2020,unknown,64.74016557402547
1,2020,unknown,141.0122702031025
1,2020,unknown,178.67721062587268
1,2020,unknown,96.25439050871042
1,2020,unknown,57.032231197869685
1,2020,unknown,14.99856608564021
78,2020,unknown,14.904626266492517
78,2020,unknown,12.228539074229008
78,2020,unknown,65.38480351646216
78,2020,unknown,52.65119087174035
78,2020,unknown,55.79927322044965
78,2020,unknown,87.49853069325005
78,2020,unknown,388.1963677709537
78,2020,unknown,193.52071240540351
78,2020,unknown,111.64052045914465
78,2020,unknown,14.431701533181133
78,2020,unknown,75.23226263762429
78,2020,unknown,62.028966864881326
78,2020,unknown,257.51617918244193
78,2020,unknown,365.65444895529544
78,2020,unknown,313.8054622039737
78,2020,unknown,80.84527847312127
78,2020,unknown,107.09613091734239
78,2020,unknown,127.49555143535248
78,2020,unknown,18.325715149326683
78,2020,unknown,129.54192186078245
78,2020,unknown,54.12372941854358
78,2020,unknown,146.6812049764327
78,2020,unknown,29.81309530349799
78,2020,unknown,47.5847861640342
78,2020,unknown,165.41651257270104
1,2020,unknown,220.36416124566063
1,2020,unknown,51.924154291900585
1,2020,unknown,65.74524174071156
