subregion,year,attributed_pixels,single_label_pixels,multi_label_pixels,pct_multi_label
SLBE,2014,10727,10727,0,0.0
SLBE,2015,8930,8930,0,0.0
SLBE,2016,11512,11512,0,0.0
SLBE,2017,6593,6593,0,0.0
SLBE,2018,8148,8148,0,0.0
SLBE,2019,7262,7262,0,0.0
SLBE,2020,9242,9242,0,0.0
SLBE,2021,6498,6498,0,0.0
VOYA,1995,31732,31732,0,0.0
VOYA,1996,30534,30534,0,0.0
VOYA,1997,48880,48880,0,0.0
VOYA,1998,34201,34201,0,0.0
VOYA,1999,45451,45451,0,0.0
VOYA,2000,78071,78071,0,0.0
VOYA,2001,41551,41551,0,0.0
VOYA,2002,33888,33888,0,0.0
VOYA,2003,47226,47226,0,0.0
VOYA,2004,42820,42820,0,0.0
VOYA,2005,37144,37144,0,0.0
VOYA,2006,22094,22094,0,0.0
VOYA,2007,23472,23472,0,0.0
VOYA,2008,19272,19272,0,0.0
VOYA,2009,25515,25515,0,0.0
VOYA,2010,21812,21812,0,0.0
VOYA,2011,26829,26829,0,0.0
VOYA,2012,30515,30515,0,0.0
VOYA,2013,11993,11993,0,0.0
