huc6_code,SURVEY_YEAR,DCA_COMMON_NAME,area_m2
190102,1998,spruce aphid,825.0874312469373
190102,1998,spruce aphid,81.27236739227752
190204,1999,spruce beetle,670.6043922173059
190203,1999,spruce beetle,549.3469975690423
190204,1999,spruce beetle,948.9444945162004
190204,1999,spruce beetle,666.2237987073993
190203,1999,spruce beetle,648.8387514425848
190203,1999,spruce beetle,633.3911076655968
190203,1999,spruce beetle,619.1716885416032
190203,1999,spruce beetle,337.5788662994426
190103,2001,common porcupine,599.7942165968359
190102,2001,spruce aphid,912.8869849490952
190102,2001,spruce aphid,713.6993636761922
190102,2001,spruce aphid,632.0969131073598
190102,2001,spruce aphid,1605.3924983731881
190203,2002,spruce beetle,272.72500034486484
190101,2001,flooding-high water,1164.4608874545047
190101,2001,mud-land slide,748.6561209779576
190102,2001,spruce aphid,28.336161855758505
190102,2001,common porcupine,388.31826271813435
190205,2002,Chrysomela leaf beetle,17.377741598836167
190705,2002,northern spruce engraver,14.642490994972004
190101,2001,yellow-cedar decline,43.499784579331546
190203,2002,spruce beetle,469.04338626501885
190102,2001,spruce aphid,399.57302973947026
190101,2002,yellow-cedar decline,438.0739552673908
190205,2002,Chrysomela leaf beetle,1183.3886132648522
190803,2002,defoliators,723.0671841427961
190803,2002,aspen leafminer,268.51316962299006
190205,2002,Chrysomela leaf beetle,188.0122079433565
190203,2002,spruce beetle,1.657451705749129
190102,2003,spruce beetle,745.9193908837256
190102,2003,yellow-cedar decline,148.537930088351
190203,2003,spruce beetle,1758.4949470595589
190803,2005,aspen leafminer,157.23116845582624
190205,2005,defoliators,748.8539871994749
190102,2005,yellow-cedar decline,0.4074316283808148
190203,1999,spruce beetle,248.62892653788487
190203,1999,spruce beetle,676.3888278428212
190102,2001,spruce aphid,24.09470465631755
190102,2001,yellow-cedar decline,647.1141233103431
190901,2008,northern spruce engraver,1199.8149304408614
190902,2009,aspen leafminer,2957.7870907699066
190102,2009,yellow-cedar decline,20.02891895181838
190705,2009,northern spruce engraver,3287.6331393870328
190303,2011,dieback,1308.3110965469232
190201,2011,dieback,1656.5797064662124
190901,2011,aspen leafminer,2312.8079857185694
190101,2011,spruce aphid,1529.6110085851838
190901,2011,willow leaf blotchminer,1290.4573047936997
190803,2012,"other wilt, known (code pending)",1332.2575850462713
190203,2012,defoliators,1056.0565910573812
190102,2013,hemlock sawfly,1489.518340521344
,2014,decline complex,328.1457664318433
,2014,defoliators,0.43218879484789263
,2014,defoliators,328.1457664318433
190903,2014,defoliators,272.27963850978523
190903,2014,defoliators,272.27963850978523
,2014,decline complex,8.114483637825623
,2014,decline complex,0.43218879484789263
,2014,birch leafroller,328.1457664318433
,2014,decline complex,424.88317623905596
190903,2014,birch leafroller,272.27963850978523
190303,2014,defoliators,7.0607742476698725
190303,2014,defoliators,18.207952232528864
190303,2014,defoliators,75.32013881495753
