subregion,year,native_class,pixel_count,area_ha
MORA,2010,Blowdown,47,4.23
MORA,2010,Defoliation,28,2.52
MORA,2010,Fire,214,19.26
MORA,2010,Riparian Change,9,0.81
MORA,2011,Avalanche,52,4.68
MORA,2011,Blowdown,195,17.55
MORA,2011,Defoliation,22,1.98
MORA,2011,Riparian Change,29,2.61
MORA,2012,Avalanche,23,2.07
MORA,2012,Fire,1099,98.91
MORA,2013,Riparian Change,10,0.9
MORA,2014,Avalanche,97,8.73
MORA,2014,Fire,441,39.69
MORA,2014,Mass Movement,25,2.25
MORA,2015,Defoliation,26,2.34
MORA,2015,Mass Movement,65,5.85
MORA,2015,Riparian Change,11,0.99
MORA,2016,Blowdown,103,9.27
MORA,2016,Mass Movement,178,16.02
MORA,2016,Riparian Change,89,8.01
MORA,2017,Avalanche,22,1.98
MORA,2017,Defoliation,57,5.13
MORA,2017,Fire,155686,14011.74
NOCA,1987,Clearing,193,17.37
NOCA,1987,Defoliation,9,0.81
NOCA,1987,Development,48,4.32
NOCA,1987,Fire,261,23.49
NOCA,1987,Mass Movement,45,4.05
NOCA,1988,Avalanche,40,3.6
NOCA,1988,Clearing,587,52.83
NOCA,1988,Fire,249,22.41
NOCA,1988,Mass Movement,23,2.07
NOCA,1989,Avalanche,400,36.0
NOCA,1989,Clearing,14,1.26
NOCA,1989,Defoliation,22,1.98
NOCA,1989,Fire,600,54.0
NOCA,1989,Mass Movement,21,1.89
NOCA,1990,Avalanche,6917,622.53
NOCA,1990,Blowdown,44,3.96
NOCA,1990,Defoliation,206,18.54
NOCA,1990,Fire,3177,285.93
NOCA,1990,Mass Movement,254,22.86
NOCA,1990,Riparian Change,71,6.39
NOCA,1991,Avalanche,152,13.68
NOCA,1991,Blowdown,27,2.43
NOCA,1991,Clearing,11,0.99
NOCA,1991,Defoliation,264,23.76
NOCA,1991,Development,50,4.5
NOCA,1991,Fire,47,4.23
NOCA,1991,Mass Movement,318,28.62
NOCA,1991,Riparian Change,174,15.66
NOCA,1992,Blowdown,11,0.99
NOCA,1992,Defoliation,65,5.85
NOCA,1992,Fire,207,18.63
NOCA,1992,Mass Movement,178,16.02
NOCA,1993,Avalanche,14,1.26
NOCA,1993,Defoliation,339,30.51
NOCA,1993,Fire,10,0.9
NOCA,1993,Mass Movement,60,5.4
NOCA,1994,Avalanche,84,7.56
NOCA,1994,Defoliation,20,1.8
NOCA,1994,Fire,21003,1890.27
NOCA,1995,Avalanche,8,0.72
NOCA,1995,Defoliation,41,3.69
NOCA,1995,Fire,1656,149.04
NOCA,1995,Mass Movement,35,3.15
NOCA,1995,Riparian Change,21,1.89
NOCA,1996,Avalanche,498,44.82
NOCA,1996,Clearing,16,1.44
NOCA,1996,Defoliation,146,13.14
NOCA,1996,Fire,13783,1240.47
NOCA,1996,Mass Movement,300,27.0
NOCA,1996,Riparian Change,653,58.77
NOCA,1997,Avalanche,1296,116.64
NOCA,1997,Clearing,21,1.89
NOCA,1997,Defoliation,206,18.54
NOCA,1997,Development,17,1.53
NOCA,1997,Fire,1775,159.75
NOCA,1997,Mass Movement,100,9.0
NOCA,1997,Riparian Change,85,7.65
NOCA,1998,Avalanche,44,3.96
NOCA,1998,Clearing,53,4.77
NOCA,1998,Defoliation,100,9.0
NOCA,1998,Fire,717,64.53
NOCA,1998,Mass Movement,32,2.88
NOCA,1998,Riparian Change,10,0.9
NOCA,1999,Avalanche,264,23.76
NOCA,1999,Blowdown,167,15.03
NOCA,1999,Defoliation,44,3.96
NOCA,1999,Development,46,4.14
NOCA,1999,Fire,406,36.54
NOCA,1999,Mass Movement,106,9.54
NOCA,2000,Avalanche,84,7.56
NOCA,2000,Defoliation,436,39.24
NOCA,2000,Fire,2039,183.51
NOCA,2000,Mass Movement,117,10.53
NOCA,2000,Riparian Change,11,0.99
NOCA,2001,Clearing,15,1.35
NOCA,2001,Defoliation,549,49.41
NOCA,2001,Fire,105473,9492.57
NOCA,2001,Mass Movement,40,3.6
NOCA,2002,Avalanche,2255,202.95
NOCA,2002,Blowdown,28,2.52
NOCA,2002,Defoliation,540,48.6
NOCA,2002,Development,9,0.81
NOCA,2002,Fire,9,0.81
NOCA,2002,Mass Movement,307,27.63
NOCA,2002,Riparian Change,59,5.31
NOCA,2003,Avalanche,71,6.39
NOCA,2003,Clearing,31,2.79
NOCA,2003,Defoliation,4743,426.87
NOCA,2003,Fire,17192,1547.28
NOCA,2003,Mass Movement,103,9.27
NOCA,2003,Riparian Change,56,5.04
NOCA,2004,Avalanche,162,14.58
NOCA,2004,Defoliation,11248,1012.32
NOCA,2004,Development,20,1.8
NOCA,2004,Fire,11102,999.18
NOCA,2004,Mass Movement,3652,328.68
NOCA,2004,Riparian Change,4843,435.87
NOCA,2005,Clearing,20,1.8
NOCA,2005,Defoliation,11087,997.83
NOCA,2005,Fire,483,43.47
NOCA,2005,Mass Movement,303,27.27
NOCA,2005,Riparian Change,46,4.14
NOCA,2006,Avalanche,170,15.3
NOCA,2006,Clearing,27,2.43
NOCA,2006,Defoliation,10264,923.76
NOCA,2006,Fire,49823,4484.07
NOCA,2006,Mass Movement,111,9.99
NOCA,2006,Riparian Change,28,2.52
NOCA,2007,Avalanche,202,18.18
NOCA,2007,Blowdown,155,13.95
NOCA,2007,Clearing,51,4.59
NOCA,2007,Defoliation,8012,721.08
NOCA,2007,Fire,25169,2265.21
NOCA,2007,Mass Movement,580,52.2
NOCA,2007,Riparian Change,574,51.66
NOCA,2008,Avalanche,1953,175.77
NOCA,2008,Blowdown,189,17.01
NOCA,2008,Clearing,4,0.36
NOCA,2008,Defoliation,69,6.21
NOCA,2008,Fire,722,64.98
NOCA,2008,Mass Movement,225,20.25
NOCA,2008,Riparian Change,12,1.08
NOCA,2009,Avalanche,5353,481.77
NOCA,2009,Defoliation,486,43.74
NOCA,2009,Fire,6422,577.98
NOCA,2009,Mass Movement,273,24.57
NOCA,2009,Riparian Change,26,2.34
NOCA,2010,Avalanche,9,0.81
NOCA,2010,Blowdown,22,1.98
NOCA,2010,Defoliation,519,46.71
NOCA,2010,Fire,10333,929.97
NOCA,2010,Mass Movement,150,13.5
NOCA,2011,Avalanche,2106,189.54
NOCA,2011,Blowdown,66,5.94
NOCA,2011,Defoliation,217,19.53
NOCA,2011,Mass Movement,416,37.44
NOCA,2012,Avalanche,1210,108.9
NOCA,2012,Blowdown,8,0.72
NOCA,2012,Defoliation,247,22.23
NOCA,2012,Fire,7118,640.62
NOCA,2012,Riparian Change,11,0.99
NOCA,2013,Avalanche,42,3.78
NOCA,2013,Defoliation,91,8.19
NOCA,2013,Fire,1533,137.97
NOCA,2013,Mass Movement,46,4.14
NOCA,2013,Riparian Change,21,1.89
NOCA,2014,Avalanche,1376,123.84
NOCA,2014,Blowdown,11,0.99
NOCA,2014,Defoliation,406,36.54
NOCA,2014,Development,14,1.26
NOCA,2014,Fire,7858,707.22
NOCA,2014,Mass Movement,215,19.35
NOCA,2014,Riparian Change,11,0.99
NOCA,2015,Avalanche,8,0.72
NOCA,2015,Blowdown,42,3.78
NOCA,2015,Defoliation,207,18.63
NOCA,2015,Fire,133891,12050.19
NOCA,2015,Mass Movement,154,13.86
NOCA,2015,Riparian Change,30,2.7
NOCA,2016,Avalanche,9,0.81
NOCA,2016,Blowdown,135,12.15
NOCA,2016,Defoliation,340,30.6
NOCA,2016,Fire,27,2.43
NOCA,2016,Mass Movement,160,14.4
NOCA,2017,Avalanche,118,10.62
NOCA,2017,Defoliation,62,5.58
OLYM,1987,Blowdown,67,6.03
OLYM,1987,Clearing,21,1.89
OLYM,1987,Coastal Change,25,2.25
OLYM,1987,Fire,539,48.51
OLYM,1987,Riparian Change,185,16.65
OLYM,1988,Blowdown,9,0.81
OLYM,1988,Defoliation,23,2.07
OLYM,1988,Mass Movement,44,3.96
OLYM,1989,Avalanche,81,7.29
OLYM,1989,Fire,800,72.0
OLYM,1989,Riparian Change,22,1.98
OLYM,1990,Avalanche,161,14.49
OLYM,1990,Mass Movement,37,3.33
OLYM,1990,Riparian Change,477,42.93
OLYM,1991,Avalanche,13,1.17
OLYM,1991,Blowdown,729,65.61
OLYM,1991,Mass Movement,185,16.65
OLYM,1991,Riparian Change,1841,165.69
OLYM,1992,Blowdown,102,9.18
