subregion,subregion_name,year,attributed_pixels,single_label_pixels,multi_label_pixels,pct_multi_label
1,Coast Range,1997,99218,99003,215,0.2167
1,Coast Range,1998,154390,146570,7820,5.0651
1,Coast Range,1999,77290,76292,998,1.2912
1,Coast Range,2000,169851,169619,232,0.1366
1,Coast Range,2001,252613,248205,4408,1.745
1,Coast Range,2002,764651,740562,24089,3.1503
1,Coast Range,2003,1838341,1815866,22475,1.2226
1,Coast Range,2004,479630,478352,1278,0.2665
1,Coast Range,2005,771930,758950,12980,1.6815
1,Coast Range,2006,923616,909982,13634,1.4762
1,Coast Range,2007,648781,628053,20728,3.1949
1,Coast Range,2008,980866,972643,8223,0.8383
1,Coast Range,2009,1350923,1338874,12049,0.8919
1,Coast Range,2010,530404,504986,25418,4.7922
1,Coast Range,2011,546914,532961,13953,2.5512
1,Coast Range,2012,549676,536856,12820,2.3323
1,Coast Range,2013,544410,542537,1873,0.344
1,Coast Range,2014,713552,697920,15632,2.1907
1,Coast Range,2015,452801,451332,1469,0.3244
1,Coast Range,2016,333261,330197,3064,0.9194
1,Coast Range,2017,289215,284328,4887,1.6897
1,Coast Range,2018,2861304,2853856,7448,0.2603
1,Coast Range,2019,536561,513999,22562,4.2049
1,Coast Range,2020,53296,53027,269,0.5047
1,Coast Range,2021,1351210,1296236,54974,4.0685
1,Coast Range,2022,3973487,3941402,32085,0.8075
1,Coast Range,2023,500945,495831,5114,1.0209
1,Coast Range,2024,4758812,4749437,9375,0.197
1,Coast Range,2025,267380,263085,4295,1.6063
11,Blue Mountains,1997,138566,137803,763,0.5506
11,Blue Mountains,1998,366564,348356,18208,4.9672
11,Blue Mountains,1999,387390,387042,348,0.0898
11,Blue Mountains,2000,1188936,1121474,67462,5.6741
11,Blue Mountains,2001,565070,536398,28672,5.0741
11,Blue Mountains,2002,960868,913858,47010,4.8925
11,Blue Mountains,2003,1602138,1490360,111778,6.9768
11,Blue Mountains,2004,1755553,1605563,149990,8.5437
11,Blue Mountains,2005,973258,961853,11405,1.1718
11,Blue Mountains,2006,743825,712103,31722,4.2647
11,Blue Mountains,2007,1722994,1636493,86501,5.0204
11,Blue Mountains,2008,1153382,1018950,134432,11.6555
11,Blue Mountains,2009,1328731,1239731,89000,6.6981
11,Blue Mountains,2010,1548135,1372924,175211,11.3176
11,Blue Mountains,2011,2492720,2045440,447280,17.9435
11,Blue Mountains,2012,1207821,1196069,11752,0.973
11,Blue Mountains,2013,583601,555071,28530,4.8886
11,Blue Mountains,2014,966448,872294,94154,9.7423
11,Blue Mountains,2015,1249000,1082400,166600,13.3387
11,Blue Mountains,2016,1388011,1230134,157877,11.3743
11,Blue Mountains,2017,1511151,1301310,209841,13.8862
11,Blue Mountains,2018,1876181,1863873,12308,0.656
11,Blue Mountains,2019,2198862,2174022,24840,1.1297
11,Blue Mountains,2020,1041118,1036325,4793,0.4604
11,Blue Mountains,2021,841794,823304,18490,2.1965
11,Blue Mountains,2022,2977684,2622571,355113,11.9258
11,Blue Mountains,2023,4151453,3220141,931312,22.4334
11,Blue Mountains,2024,1187593,1035085,152508,12.8418
11,Blue Mountains,2025,766568,720383,46185,6.0249
15,Northern Rockies,1997,1708990,1706218,2772,0.1622
15,Northern Rockies,1998,120864,117195,3669,3.0356
15,Northern Rockies,1999,174997,169342,5655,3.2315
15,Northern Rockies,2000,234117,230469,3648,1.5582
15,Northern Rockies,2001,382842,357080,25762,6.7291
15,Northern Rockies,2002,284724,246873,37851,13.2939
15,Northern Rockies,2003,1328392,1019082,309310,23.2845
15,Northern Rockies,2004,1295148,956189,338959,26.1714
15,Northern Rockies,2005,1374440,1031210,343230,24.9724
15,Northern Rockies,2006,408203,373083,35120,8.6036
15,Northern Rockies,2007,596051,520535,75516,12.6694
15,Northern Rockies,2008,480258,435310,44948,9.3591
15,Northern Rockies,2009,545061,520644,24417,4.4797
15,Northern Rockies,2010,618232,572256,45976,7.4367
15,Northern Rockies,2011,1071017,1044931,26086,2.4356
15,Northern Rockies,2012,1279481,1259445,20036,1.5659
15,Northern Rockies,2013,589638,575009,14629,2.481
15,Northern Rockies,2014,594523,571583,22940,3.8586
15,Northern Rockies,2015,350830,346304,4526,1.2901
15,Northern Rockies,2016,617040,573700,43340,7.0239
15,Northern Rockies,2017,846741,614855,231886,27.3857
15,Northern Rockies,2018,507291,428195,79096,15.5918
15,Northern Rockies,2019,699095,687620,11475,1.6414
15,Northern Rockies,2020,1032031,725157,306874,29.735
15,Northern Rockies,2021,443962,435846,8116,1.8281
15,Northern Rockies,2022,573647,556927,16720,2.9147
15,Northern Rockies,2023,397744,352818,44926,11.2952
15,Northern Rockies,2024,296231,292979,3252,1.0978
15,Northern Rockies,2025,85566,81378,4188,4.8945
4,Cascades,1997,318280,314690,3590,1.1279
4,Cascades,1998,378651,376709,1942,0.5129
4,Cascades,1999,395290,393677,1613,0.4081
4,Cascades,2000,674419,671946,2473,0.3667
4,Cascades,2001,666751,618175,48576,7.2855
4,Cascades,2002,901917,867053,34864,3.8655
4,Cascades,2003,1671227,1616355,54872,3.2833
4,Cascades,2004,1336133,1249887,86246,6.4549
4,Cascades,2005,1553309,1497892,55417,3.5677
4,Cascades,2006,1789809,1758799,31010,1.7326
4,Cascades,2007,1836453,1654697,181756,9.8971
4,Cascades,2008,1726489,1594314,132175,7.6557
4,Cascades,2009,1857217,1791187,66030,3.5553
4,Cascades,2010,1417172,1301271,115901,8.1783
4,Cascades,2011,1229587,1117019,112568,9.1549
4,Cascades,2012,1048769,1000082,48687,4.6423
4,Cascades,2013,922103,902283,19820,2.1494
4,Cascades,2014,678500,623696,54804,8.0772
4,Cascades,2015,657378,642867,14511,2.2074
4,Cascades,2016,609568,573993,35575,5.8361
4,Cascades,2017,551605,511058,40547,7.3507
4,Cascades,2018,385402,383730,1672,0.4338
4,Cascades,2019,561772,523669,38103,6.7826
4,Cascades,2020,189896,185311,4585,2.4145
4,Cascades,2021,445195,441502,3693,0.8295
4,Cascades,2022,2200250,1842077,358173,16.2787
4,Cascades,2023,2479505,2040880,438625,17.69
4,Cascades,2024,1263351,1161141,102210,8.0904
4,Cascades,2025,430078,403283,26795,6.2303
77,North Cascades,1997,402750,394615,8135,2.0199
77,North Cascades,1998,251005,242379,8626,3.4366
77,North Cascades,1999,322068,315084,6984,2.1685
77,North Cascades,2000,366593,358965,7628,2.0808
77,North Cascades,2001,795839,699669,96170,12.0841
77,North Cascades,2002,1022600,879044,143556,14.0383
77,North Cascades,2003,1184163,1092893,91270,7.7076
77,North Cascades,2004,1314261,1203192,111069,8.4511
77,North Cascades,2005,2237619,2068328,169291,7.5657
77,North Cascades,2006,2381505,2277915,103590,4.3498
77,North Cascades,2007,2158807,1901085,257722,11.9382
77,North Cascades,2008,2800362,2603350,197012,7.0352
77,North Cascades,2009,3582960,3092520,490440,13.6881
77,North Cascades,2010,2031768,1852209,179559,8.8376
77,North Cascades,2011,1909784,1780729,129055,6.7576
77,North Cascades,2012,1912444,1725935,186509,9.7524
77,North Cascades,2013,931832,895370,36462,3.9129
77,North Cascades,2014,709873,567919,141954,19.9971
77,North Cascades,2015,409338,392043,17295,4.2251
77,North Cascades,2016,531287,493528,37759,7.1071
77,North Cascades,2017,675260,507809,167451,24.798
77,North Cascades,2018,386764,373368,13396,3.4636
77,North Cascades,2019,652553,533928,118625,18.1786
77,North Cascades,2020,215087,209299,5788,2.691
77,North Cascades,2021,574032,546848,27184,4.7356
77,North Cascades,2022,871342,825153,46189,5.3009
77,North Cascades,2023,462623,430057,32566,7.0394
77,North Cascades,2024,791613,774752,16861,2.13
77,North Cascades,2025,911533,900126,11407,1.2514
78,Klamath Mountains/California High North Coast Range,1997,9915,9915,0,0.0
78,Klamath Mountains/California High North Coast Range,1998,3613,3613,0,0.0
78,Klamath Mountains/California High North Coast Range,1999,12817,12817,0,0.0
78,Klamath Mountains/California High North Coast Range,2000,17486,17486,0,0.0
78,Klamath Mountains/California High North Coast Range,2001,28051,28051,0,0.0
78,Klamath Mountains/California High North Coast Range,2002,233368,190135,43233,18.5257
78,Klamath Mountains/California High North Coast Range,2003,337793,335128,2665,0.7889
78,Klamath Mountains/California High North Coast Range,2004,204584,195850,8734,4.2692
78,Klamath Mountains/California High North Coast Range,2005,109379,103850,5529,5.0549
78,Klamath Mountains/California High North Coast Range,2006,27608,23528,4080,14.7783
78,Klamath Mountains/California High North Coast Range,2007,61683,57605,4078,6.6112
78,Klamath Mountains/California High North Coast Range,2008,67573,65760,1813,2.683
78,Klamath Mountains/California High North Coast Range,2009,43633,42879,754,1.728
78,Klamath Mountains/California High North Coast Range,2010,92147,88641,3506,3.8048
78,Klamath Mountains/California High North Coast Range,2011,80375,79135,1240,1.5428
78,Klamath Mountains/California High North Coast Range,2012,45106,43080,2026,4.4916
78,Klamath Mountains/California High North Coast Range,2013,55220,54597,623,1.1282
78,Klamath Mountains/California High North Coast Range,2014,51662,51233,429,0.8304
78,Klamath Mountains/California High North Coast Range,2015,113355,107597,5758,5.0796
78,Klamath Mountains/California High North Coast Range,2016,271666,262943,8723,3.2109
78,Klamath Mountains/California High North Coast Range,2017,100265,96619,3646,3.6364
78,Klamath Mountains/California High North Coast Range,2018,75809,74795,1014,1.3376
78,Klamath Mountains/California High North Coast Range,2019,275285,270312,4973,1.8065
78,Klamath Mountains/California High North Coast Range,2020,253135,253135,0,0.0
78,Klamath Mountains/California High North Coast Range,2021,221885,81638,140247,63.2071
78,Klamath Mountains/California High North Coast Range,2022,2310244,1713544,596700,25.8284
78,Klamath Mountains/California High North Coast Range,2023,1404309,1017603,386706,27.5371
78,Klamath Mountains/California High North Coast Range,2024,599238,491381,107857,17.999
78,Klamath Mountains/California High North Coast Range,2025,461228,377515,83713,18.15
9,Eastern Cascades Slopes and Foothills,1997,1147043,1140512,6531,0.5694
9,Eastern Cascades Slopes and Foothills,1998,2665790,2658105,7685,0.2883
9,Eastern Cascades Slopes and Foothills,1999,1166940,1144906,22034,1.8882
9,Eastern Cascades Slopes and Foothills,2000,1608502,1602243,6259,0.3891
9,Eastern Cascades Slopes and Foothills,2001,1175461,1038538,136923,11.6485
9,Eastern Cascades Slopes and Foothills,2002,843691,684738,158953,18.8402
9,Eastern Cascades Slopes and Foothills,2003,1281977,1140224,141753,11.0574
9,Eastern Cascades Slopes and Foothills,2004,1681070,1514059,167011,9.9348
9,Eastern Cascades Slopes and Foothills,2005,2002281,1683734,318547,15.9092
9,Eastern Cascades Slopes and Foothills,2006,2236791,2162384,74407,3.3265
9,Eastern Cascades Slopes and Foothills,2007,2118968,1931425,187543,8.8507
9,Eastern Cascades Slopes and Foothills,2008,2509483,2283673,225810,8.9983
9,Eastern Cascades Slopes and Foothills,2009,1794271,1631167,163104,9.0903
9,Eastern Cascades Slopes and Foothills,2010,1653318,1494026,159292,9.6347
9,Eastern Cascades Slopes and Foothills,2011,945148,927102,18046,1.9093
9,Eastern Cascades Slopes and Foothills,2012,1146777,1072277,74500,6.4965
9,Eastern Cascades Slopes and Foothills,2013,983388,954923,28465,2.8946
9,Eastern Cascades Slopes and Foothills,2014,1057663,885364,172299,16.2905
