subregion,subregion_name,year,native_class,pixel_count,area_ha
1,Coast Range,2002,wild fire,364,32.76
1,Coast Range,2002,wind-tornado/hurricane,2921,262.89
1,Coast Range,2003,Douglas-fir beetle,6662,599.58
1,Coast Range,2003,Douglas-fir engraver,829,74.61
1,Coast Range,2003,Port-Orford-cedar root disease,37863,3407.67
1,Coast Range,2003,Swiss needle cast,1340728,120665.52
1,Coast Range,2003,balsam woolly adelgid,686,61.74
1,Coast Range,2003,bears,455771,41019.39
1,Coast Range,2003,fir engraver,6738,606.42
1,Coast Range,2003,flatheaded borer,487,43.83
1,Coast Range,2003,foliage discoloration,408,36.72
1,Coast Range,2003,frost,1361,122.49
1,Coast Range,2003,mountain pine beetle,718,64.62
1,Coast Range,2003,mud-land slide,239,21.51
1,Coast Range,2003,needlecast,1535,138.15
1,Coast Range,2003,root diseases/decay,2257,203.13
1,Coast Range,2003,spruce aphid,2103,189.27
1,Coast Range,2003,spruce beetle,109,9.81
1,Coast Range,2003,western balsam bark beetle,251,22.59
1,Coast Range,2003,western tent caterpillar,206,18.54
1,Coast Range,2003,white pine blister rust,406,36.54
1,Coast Range,2003,wild fire,21,1.89
1,Coast Range,2003,wind-tornado/hurricane,1438,129.42
1,Coast Range,2004,Douglas-fir beetle,12667,1140.03
1,Coast Range,2004,Douglas-fir engraver,136,12.24
1,Coast Range,2004,Douglas-fir rust,713,64.17
1,Coast Range,2004,Port-Orford-cedar root disease,41215,3709.35
1,Coast Range,2004,Swiss needle cast,26483,2383.47
1,Coast Range,2004,balsam woolly adelgid,1285,115.65
1,Coast Range,2004,bears,363645,32728.05
1,Coast Range,2004,decline complex,96,8.64
1,Coast Range,2004,fir engraver,27421,2467.89
1,Coast Range,2004,flatheaded borer,62,5.58
1,Coast Range,2004,foliage discoloration,8,0.72
1,Coast Range,2004,frost,500,45.0
1,Coast Range,2004,maple decline,17,1.53
1,Coast Range,2004,mortality,30,2.7
1,Coast Range,2004,mountain pine beetle,1521,136.89
1,Coast Range,2004,needlecast,1492,134.28
1,Coast Range,2004,pine engraver,450,40.5
1,Coast Range,2004,root diseases/decay,280,25.2
1,Coast Range,2004,sawflies,198,17.82
1,Coast Range,2004,spruce aphid,178,16.02
1,Coast Range,2004,spruce beetle,17,1.53
1,Coast Range,2004,western balsam bark beetle,202,18.18
1,Coast Range,2004,western pine beetle,222,19.98
1,Coast Range,2004,western tent caterpillar,1508,135.72
1,Coast Range,2004,white pine blister rust,212,19.08
1,Coast Range,2004,wild fire,291,26.19
1,Coast Range,2004,wind-tornado/hurricane,59,5.31
1,Coast Range,2005,Douglas-fir beetle,29685,2671.65
1,Coast Range,2005,Douglas-fir engraver,158,14.22
1,Coast Range,2005,Douglas-fir rust,1762,158.58
1,Coast Range,2005,Lophodermium needle cast of pines,122,10.98
1,Coast Range,2005,Pacific madrone decline,74,6.66
1,Coast Range,2005,Port-Orford-cedar root disease,41463,3731.67
1,Coast Range,2005,Swiss needle cast,6199,557.91
1,Coast Range,2005,balsam woolly adelgid,6907,621.63
1,Coast Range,2005,bears,540241,48621.69
1,Coast Range,2005,decline complex,24,2.16
1,Coast Range,2005,fir engraver,64789,5831.01
1,Coast Range,2005,flatheaded borer,54,4.86
1,Coast Range,2005,frost,1103,99.27
1,Coast Range,2005,hemlock decline,38285,3445.65
1,Coast Range,2005,mortality,257,23.13
1,Coast Range,2005,mountain pine beetle,178,16.02
1,Coast Range,2005,needlecast,1474,132.66
1,Coast Range,2005,pine engraver,177,15.93
1,Coast Range,2005,root diseases/decay,5576,501.84
1,Coast Range,2005,spruce aphid,44928,4043.52
1,Coast Range,2005,spruce beetle,483,43.47
1,Coast Range,2005,western balsam bark beetle,894,80.46
1,Coast Range,2005,wind-tornado/hurricane,77,6.93
1,Coast Range,2006,Douglas-fir beetle,51431,4628.79
1,Coast Range,2006,Douglas-fir engraver,819,73.71
1,Coast Range,2006,Douglas-fir rust,813,73.17
1,Coast Range,2006,Lophodermium needle cast of pines,53,4.77
1,Coast Range,2006,Port-Orford-cedar root disease,47555,4279.95
1,Coast Range,2006,balsam woolly adelgid,4089,368.01
1,Coast Range,2006,bears,707308,63657.72
1,Coast Range,2006,fir engraver,109493,9854.37
1,Coast Range,2006,fire,649,58.41
1,Coast Range,2006,flatheaded borer,3721,334.89
1,Coast Range,2006,foliage discoloration,1075,96.75
1,Coast Range,2006,frost,728,65.52
1,Coast Range,2006,hemlock decline,3493,314.37
1,Coast Range,2006,maple decline,72,6.48
1,Coast Range,2006,mountain pine beetle,305,27.45
1,Coast Range,2006,needlecast,103,9.27
1,Coast Range,2006,pine engraver,55,4.95
1,Coast Range,2006,root diseases/decay,451,40.59
1,Coast Range,2006,silver fir beetle,80,7.2
1,Coast Range,2006,snow-ice,1236,111.24
1,Coast Range,2006,spruce aphid,187,16.83
1,Coast Range,2006,spruce beetle,1505,135.45
1,Coast Range,2006,western balsam bark beetle,1252,112.68
1,Coast Range,2006,western tent caterpillar,175,15.75
1,Coast Range,2006,wind-tornado/hurricane,1531,137.79
1,Coast Range,2007,Douglas-fir beetle,27027,2432.43
1,Coast Range,2007,Douglas-fir engraver,441,39.69
1,Coast Range,2007,Douglas-fir rust,1486,133.74
1,Coast Range,2007,Lophodermium needle cast of pines,610,54.9
1,Coast Range,2007,Port-Orford-cedar root disease,53988,4858.92
1,Coast Range,2007,balsam woolly adelgid,10617,955.53
1,Coast Range,2007,bears,468156,42134.04
1,Coast Range,2007,decline complex,324,29.16
1,Coast Range,2007,fir engraver,50631,4556.79
1,Coast Range,2007,fire,126,11.34
1,Coast Range,2007,flatheaded borer,1168,105.12
1,Coast Range,2007,frost,1850,166.5
1,Coast Range,2007,hemlock decline,3188,286.92
1,Coast Range,2007,maple decline,647,58.23
1,Coast Range,2007,mountain pine beetle,1059,95.31
1,Coast Range,2007,mud-land slide,104,9.36
1,Coast Range,2007,needlecast,388,34.92
1,Coast Range,2007,pine engraver,415,37.35
1,Coast Range,2007,root diseases/decay,5513,496.17
1,Coast Range,2007,snow-ice,1068,96.12
1,Coast Range,2007,spruce aphid,384,34.56
1,Coast Range,2007,spruce beetle,9,0.81
1,Coast Range,2007,western balsam bark beetle,2621,235.89
1,Coast Range,2007,western tent caterpillar,512,46.08
1,Coast Range,2007,wind-tornado/hurricane,37177,3345.93
1,Coast Range,2008,Douglas-fir beetle,13035,1173.15
1,Coast Range,2008,Douglas-fir engraver,299,26.91
1,Coast Range,2008,Douglas-fir rust,530,47.7
1,Coast Range,2008,Lophodermium needle cast of pines,67,6.03
1,Coast Range,2008,Port-Orford-cedar root disease,27446,2470.14
1,Coast Range,2008,balsam woolly adelgid,5086,457.74
1,Coast Range,2008,bears,690621,62155.89
1,Coast Range,2008,fir engraver,23045,2074.05
1,Coast Range,2008,fire,45,4.05
1,Coast Range,2008,flatheaded borer,912,82.08
1,Coast Range,2008,frost,2313,208.17
1,Coast Range,2008,hemlock decline,6408,576.72
1,Coast Range,2008,maple decline,135,12.15
1,Coast Range,2008,mountain pine beetle,157,14.13
1,Coast Range,2008,mud-land slide,1198,107.82
1,Coast Range,2008,needlecast,10306,927.54
1,Coast Range,2008,pine engraver,40,3.6
1,Coast Range,2008,root diseases/decay,2258,203.22
1,Coast Range,2008,snow-ice,1322,118.98
1,Coast Range,2008,spruce aphid,662,59.58
1,Coast Range,2008,western balsam bark beetle,3216,289.44
1,Coast Range,2008,white pine blister rust,992,89.28
1,Coast Range,2008,wind-tornado/hurricane,198996,17909.64
1,Coast Range,2009,Douglas-fir beetle,53020,4771.8
1,Coast Range,2009,Douglas-fir engraver,30,2.7
1,Coast Range,2009,Douglas-fir rust,384,34.56
1,Coast Range,2009,Port-Orford-cedar root disease,21750,1957.5
1,Coast Range,2009,Swiss needle cast,168,15.12
1,Coast Range,2009,balsam woolly adelgid,7549,679.41
1,Coast Range,2009,bears,1231058,110795.22
1,Coast Range,2009,fir engraver,13500,1215.0
1,Coast Range,2009,fire,295,26.55
1,Coast Range,2009,flatheaded borer,538,48.42
1,Coast Range,2009,flooding-high water,1202,108.18
1,Coast Range,2009,foliage discoloration,12065,1085.85
1,Coast Range,2009,hemlock decline,3688,331.92
1,Coast Range,2009,maple decline,26,2.34
1,Coast Range,2009,mortality,4045,364.05
1,Coast Range,2009,mountain pine beetle,137,12.33
1,Coast Range,2009,mud-land slide,23,2.07
1,Coast Range,2009,needlecast,553,49.77
1,Coast Range,2009,root diseases/decay,260,23.4
1,Coast Range,2009,spruce aphid,632,56.88
1,Coast Range,2009,spruce beetle,53,4.77
1,Coast Range,2009,white pine blister rust,1878,169.02
1,Coast Range,2009,wind-tornado/hurricane,10086,907.74
1,Coast Range,2009,winter injury,32,2.88
1,Coast Range,2010,Douglas-fir beetle,61520,5536.8
1,Coast Range,2010,Douglas-fir engraver,80,7.2
1,Coast Range,2010,Lophodermium needle cast of pines,426,38.34
1,Coast Range,2010,Port-Orford-cedar root disease,19262,1733.58
1,Coast Range,2010,balsam woolly adelgid,4847,436.23
1,Coast Range,2010,bears,382772,34449.48
1,Coast Range,2010,decline complex,3710,333.9
1,Coast Range,2010,fir engraver,37417,3367.53
1,Coast Range,2010,fire,1092,98.28
1,Coast Range,2010,flatheaded borer,938,84.42
1,Coast Range,2010,flooding-high water,1673,150.57
1,Coast Range,2010,hardwood leaf rusts,742,66.78
1,Coast Range,2010,hemlock decline,32084,2887.56
1,Coast Range,2010,maple decline,78,7.02
1,Coast Range,2010,mountain pine beetle,1079,97.11
1,Coast Range,2010,mud-land slide,80,7.2
1,Coast Range,2010,needlecast,1310,117.9
1,Coast Range,2010,pine engraver,85,7.65
1,Coast Range,2010,root diseases/decay,2382,214.38
1,Coast Range,2010,spruce beetle,17,1.53
1,Coast Range,2010,western balsam bark beetle,1036,93.24
1,Coast Range,2010,wind-tornado/hurricane,3132,281.88
1,Coast Range,2010,winter injury,120,10.8
1,Coast Range,2011,Douglas-fir beetle,31915,2872.35
1,Coast Range,2011,Douglas-fir engraver,97,8.73
1,Coast Range,2011,Lophodermium needle cast of pines,289,26.01
1,Coast Range,2011,Port-Orford-cedar root disease,28895,2600.55
1,Coast Range,2011,balsam woolly adelgid,4386,394.74
1,Coast Range,2011,bears,443949,39955.41
1,Coast Range,2011,decline complex,250,22.5
1,Coast Range,2011,fir engraver,23012,2071.08
1,Coast Range,2011,fire,727,65.43
1,Coast Range,2011,flatheaded borer,822,73.98
1,Coast Range,2011,flooding-high water,2705,243.45
1,Coast Range,2011,hardwood leaf rusts,776,69.84
1,Coast Range,2011,hemlock decline,17029,1532.61
1,Coast Range,2011,maple decline,23,2.07
1,Coast Range,2011,mountain pine beetle,46,4.14
1,Coast Range,2011,mud-land slide,170,15.3
1,Coast Range,2011,needlecast,2961,266.49
1,Coast Range,2011,pine engraver,216,19.44
1,Coast Range,2011,root diseases/decay,1584,142.56
1,Coast Range,2011,western balsam bark beetle,350,31.5
1,Coast Range,2011,wind-tornado/hurricane,835,75.15
1,Coast Range,2012,Douglas-fir beetle,23011,2070.99
1,Coast Range,2012,Douglas-fir engraver,36,3.24
1,Coast Range,2012,Lophodermium needle cast of pines,116,10.44
1,Coast Range,2012,Pacific madrone decline,126,11.34
1,Coast Range,2012,Port-Orford-cedar root disease,15677,1410.93
1,Coast Range,2012,balsam woolly adelgid,4006,360.54
1,Coast Range,2012,bears,442678,39841.02
1,Coast Range,2012,decline complex,9,0.81
1,Coast Range,2012,fir engraver,15699,1412.91
1,Coast Range,2012,fire,559,50.31
1,Coast Range,2012,flatheaded borer,378,34.02
1,Coast Range,2012,flooding-high water,2280,205.2
1,Coast Range,2012,foliage discoloration,718,64.62
1,Coast Range,2012,hardwood leaf rusts,1380,124.2
1,Coast Range,2012,hemlock decline,30329,2729.61
1,Coast Range,2012,maple decline,47,4.23
1,Coast Range,2012,mountain pine beetle,105,9.45
1,Coast Range,2012,mud-land slide,770,69.3
1,Coast Range,2012,needlecast,16500,1485.0
1,Coast Range,2012,pine needle sheathminer,396,35.64
1,Coast Range,2012,root diseases/decay,182,16.38
1,Coast Range,2012,sawflies,88,7.92
1,Coast Range,2012,spruce beetle,9,0.81
1,Coast Range,2012,western balsam bark beetle,1938,174.42
