subregion,subregion_name,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
190101,Southern Southeast Alaska,1997,Defoliation,18500,1665.0,78.606
190101,Southern Southeast Alaska,1997,Mortality,2794,251.46,11.872
190101,Southern Southeast Alaska,1997,Topkill,2241,201.69,9.522
190101,Southern Southeast Alaska,1998,Defoliation,24678,2221.02,84.214
190101,Southern Southeast Alaska,1998,Mortality,4333,389.97,14.786
190101,Southern Southeast Alaska,1998,Topkill,183,16.47,0.624
190101,Southern Southeast Alaska,1998,Main stem Broken or Uprooted,110,9.9,0.375
190101,Southern Southeast Alaska,1999,Defoliation,6972,627.48,65.668
190101,Southern Southeast Alaska,1999,Mortality,2665,239.85,25.101
190101,Southern Southeast Alaska,1999,Main stem Broken or Uprooted,586,52.74,5.519
190101,Southern Southeast Alaska,1999,Topkill,394,35.46,3.711
190101,Southern Southeast Alaska,2000,Defoliation,17330,1559.7,90.9
190101,Southern Southeast Alaska,2000,Mortality,1465,131.85,7.684
190101,Southern Southeast Alaska,2000,Main stem Broken or Uprooted,270,24.3,1.416
190101,Southern Southeast Alaska,2001,Defoliation,9629,866.61,62.984
190101,Southern Southeast Alaska,2001,Mortality,5308,477.72,34.72
190101,Southern Southeast Alaska,2001,Crown Discoloration,295,26.55,1.93
190101,Southern Southeast Alaska,2001,Topkill,56,5.04,0.366
190101,Southern Southeast Alaska,2002,Defoliation,8615,775.35,53.357
190101,Southern Southeast Alaska,2002,Mortality,7373,663.57,45.665
190101,Southern Southeast Alaska,2002,Main stem Broken or Uprooted,84,7.56,0.52
190101,Southern Southeast Alaska,2002,Topkill,74,6.66,0.458
190101,Southern Southeast Alaska,2003,Defoliation,44283,3985.47,75.477
190101,Southern Southeast Alaska,2003,Mortality,11710,1053.9,19.959
190101,Southern Southeast Alaska,2003,Main stem Broken or Uprooted,2298,206.82,3.917
190101,Southern Southeast Alaska,2003,Topkill,380,34.2,0.648
