subregion,subregion_name,native_class,pixel_count,area_ha,spatial_prevalence_pct
190101,Southern Southeast Alaska,Mortality,1290671,116160.39,40.888
190101,Southern Southeast Alaska,Defoliation 50-75% of leaves defoliated,1144209,102978.81,36.248
190101,Southern Southeast Alaska,Defoliation > 75% of leaves defoliated,471260,42413.4,14.929
190101,Southern Southeast Alaska,Defoliation,318979,28708.11,10.105
190101,Southern Southeast Alaska,Mortality - Previously Undocumented,100763,9068.67,3.192
190101,Southern Southeast Alaska,Topkill,58849,5296.41,1.864
190101,Southern Southeast Alaska,Defoliation < 50% of leaves defoliated,47382,4264.38,1.501
190101,Southern Southeast Alaska,Main stem Broken or Uprooted,25901,2331.09,0.821
190101,Southern Southeast Alaska,Crown Discoloration,3250,292.5,0.103
190101,Southern Southeast Alaska,Crown Dieback,2723,245.07,0.086
190101,Southern Southeast Alaska,Branch flagging,2684,241.56,0.085
190102,Central Southeast Alaska,Defoliation > 75% of leaves defoliated,3185623,286706.07,38.962
190102,Central Southeast Alaska,Defoliation 50-75% of leaves defoliated,2323146,209083.14,28.413
190102,Central Southeast Alaska,Mortality,1521854,136966.86,18.613
190102,Central Southeast Alaska,Topkill,772610,69534.9,9.449
190102,Central Southeast Alaska,Defoliation,719626,64766.34,8.801
190102,Central Southeast Alaska,Mortality - Previously Undocumented,439229,39530.61,5.372
190102,Central Southeast Alaska,Defoliation < 50% of leaves defoliated,133049,11974.41,1.627
190102,Central Southeast Alaska,Main stem Broken or Uprooted,39084,3517.56,0.478
190102,Central Southeast Alaska,Crown Dieback,15924,1433.16,0.195
190102,Central Southeast Alaska,Crown Discoloration,11591,1043.19,0.142
190102,Central Southeast Alaska,Branch flagging,2494,224.46,0.031
190102,Central Southeast Alaska,Other Damage (known),22,1.98,0.0
190103,Northern Southeast Alaska,Defoliation 50-75% of leaves defoliated,590730,53165.7,28.243
190103,Northern Southeast Alaska,Defoliation,447321,40258.89,21.386
190103,Northern Southeast Alaska,Mortality,314020,28261.8,15.013
190103,Northern Southeast Alaska,Defoliation > 75% of leaves defoliated,293022,26371.98,14.009
190103,Northern Southeast Alaska,Defoliation < 50% of leaves defoliated,222436,20019.24,10.635
190103,Northern Southeast Alaska,Crown Discoloration,86187,7756.83,4.121
190103,Northern Southeast Alaska,Topkill,73395,6605.55,3.509
190103,Northern Southeast Alaska,Mortality - Previously Undocumented,53850,4846.5,2.575
190103,Northern Southeast Alaska,Crown Dieback,25936,2334.24,1.24
190103,Northern Southeast Alaska,Main stem Broken or Uprooted,21618,1945.62,1.034
190103,Northern Southeast Alaska,Branch flagging,369,33.21,0.018
190201,Copper River,Defoliation,1314018,118261.62,42.251
190201,Copper River,Mortality,1290556,116150.04,41.497
190201,Copper River,Crown Dieback,305240,27471.6,9.815
190201,Copper River,Defoliation 50-75% of leaves defoliated,172946,15565.14,5.561
190201,Copper River,Defoliation > 75% of leaves defoliated,75135,6762.15,2.416
190201,Copper River,Crown Discoloration,53961,4856.49,1.735
190201,Copper River,Mortality - Previously Undocumented,23660,2129.4,0.761
190201,Copper River,Branch flagging,758,68.22,0.024
190201,Copper River,Main stem Broken or Uprooted,533,47.97,0.017
190201,Copper River,Other Damage (known),30,2.7,0.001
190202,Prince William Sound,Defoliation,274552,24709.68,47.324
190202,Prince William Sound,Defoliation 50-75% of leaves defoliated,216911,19521.99,37.389
190202,Prince William Sound,Mortality,59430,5348.7,10.244
190202,Prince William Sound,Crown Dieback,21905,1971.45,3.776
190202,Prince William Sound,Branch flagging,4912,442.08,0.847
190202,Prince William Sound,Mortality - Previously Undocumented,1256,113.04,0.216
190202,Prince William Sound,Defoliation > 75% of leaves defoliated,949,85.41,0.164
190202,Prince William Sound,Main stem Broken or Uprooted,510,45.9,0.088
190203,Kenai Peninsula,Mortality,4185783,376720.47,64.913
190203,Kenai Peninsula,Defoliation > 75% of leaves defoliated,730032,65702.88,11.321
190203,Kenai Peninsula,Mortality - Previously Undocumented,681443,61329.87,10.568
