subregion,subregion_name,native_class,pixel_count,area_ha
190101,Southern Southeast Alaska,Branch flagging,2684,241.56
190101,Southern Southeast Alaska,Crown Dieback,2723,245.07
190101,Southern Southeast Alaska,Crown Discoloration,3250,292.5
190101,Southern Southeast Alaska,Defoliation,318979,28708.11
190101,Southern Southeast Alaska,Defoliation 50-75% of leaves defoliated,1144209,102978.81
190101,Southern Southeast Alaska,Defoliation < 50% of leaves defoliated,47382,4264.38
190101,Southern Southeast Alaska,Defoliation > 75% of leaves defoliated,471260,42413.4
190101,Southern Southeast Alaska,Main stem Broken or Uprooted,25901,2331.09
190101,Southern Southeast Alaska,Mortality,1290671,116160.39
190101,Southern Southeast Alaska,Mortality - Previously Undocumented,100763,9068.67
190101,Southern Southeast Alaska,Topkill,58849,5296.41
190102,Central Southeast Alaska,Branch flagging,2494,224.46
190102,Central Southeast Alaska,Crown Dieback,15924,1433.16
190102,Central Southeast Alaska,Crown Discoloration,11591,1043.19
190102,Central Southeast Alaska,Defoliation,719626,64766.34
190102,Central Southeast Alaska,Defoliation 50-75% of leaves defoliated,2323146,209083.14
190102,Central Southeast Alaska,Defoliation < 50% of leaves defoliated,133049,11974.41
190102,Central Southeast Alaska,Defoliation > 75% of leaves defoliated,3185623,286706.07
190102,Central Southeast Alaska,Main stem Broken or Uprooted,39084,3517.56
190102,Central Southeast Alaska,Mortality,1521854,136966.86
190102,Central Southeast Alaska,Mortality - Previously Undocumented,439229,39530.61
190102,Central Southeast Alaska,Other Damage (known),22,1.98
190102,Central Southeast Alaska,Topkill,772610,69534.9
190103,Northern Southeast Alaska,Branch flagging,369,33.21
190103,Northern Southeast Alaska,Crown Dieback,25936,2334.24
190103,Northern Southeast Alaska,Crown Discoloration,86187,7756.83
190103,Northern Southeast Alaska,Defoliation,447321,40258.89
190103,Northern Southeast Alaska,Defoliation 50-75% of leaves defoliated,590730,53165.7
190103,Northern Southeast Alaska,Defoliation < 50% of leaves defoliated,222436,20019.24
190103,Northern Southeast Alaska,Defoliation > 75% of leaves defoliated,293022,26371.98
190103,Northern Southeast Alaska,Main stem Broken or Uprooted,21618,1945.62
190103,Northern Southeast Alaska,Mortality,314020,28261.8
190103,Northern Southeast Alaska,Mortality - Previously Undocumented,53850,4846.5
190103,Northern Southeast Alaska,Topkill,73395,6605.55
190201,Copper River,Branch flagging,758,68.22
190201,Copper River,Crown Dieback,305240,27471.6
190201,Copper River,Crown Discoloration,53961,4856.49
190201,Copper River,Defoliation,1314018,118261.62
190201,Copper River,Defoliation 50-75% of leaves defoliated,172946,15565.14
190201,Copper River,Defoliation > 75% of leaves defoliated,75135,6762.15
190201,Copper River,Main stem Broken or Uprooted,533,47.97
