subregion,subregion_name,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
190101,Southern Southeast Alaska,1997,hemlock sawfly,16181,1456.29,68.753
190101,Southern Southeast Alaska,1997,common porcupine,2241,201.69,9.522
190101,Southern Southeast Alaska,1997,spruce beetle,2137,192.33,9.08
190101,Southern Southeast Alaska,1997,spruce aphid,1843,165.87,7.831
190101,Southern Southeast Alaska,1997,Chrysomela leaf beetle,476,42.84,2.023
190101,Southern Southeast Alaska,1997,fire,234,21.06,0.994
190101,Southern Southeast Alaska,1997,mud-land slide,233,20.97,0.99
190101,Southern Southeast Alaska,1997,flooding-high water,190,17.1,0.807
190101,Southern Southeast Alaska,1998,spruce aphid,22626,2036.34,77.211
190101,Southern Southeast Alaska,1998,spruce beetle,3840,345.6,13.104
190101,Southern Southeast Alaska,1998,hemlock sawfly,2052,184.68,7.002
190101,Southern Southeast Alaska,1998,flooding-high water,328,29.52,1.119
190101,Southern Southeast Alaska,1998,common porcupine,183,16.47,0.624
190101,Southern Southeast Alaska,1998,wind-tornado/hurricane,110,9.9,0.375
190101,Southern Southeast Alaska,1998,fire,102,9.18,0.348
190101,Southern Southeast Alaska,1998,mud-land slide,63,5.67,0.215
190101,Southern Southeast Alaska,1999,spruce aphid,6561,590.49,61.797
190101,Southern Southeast Alaska,1999,hemlock canker,1159,104.31,10.916
190101,Southern Southeast Alaska,1999,spruce beetle,994,89.46,9.362
190101,Southern Southeast Alaska,1999,wind-tornado/hurricane,586,52.74,5.519
190101,Southern Southeast Alaska,1999,flooding-high water,512,46.08,4.822
190101,Southern Southeast Alaska,1999,hemlock sawfly,411,36.99,3.871
190101,Southern Southeast Alaska,1999,common porcupine,394,35.46,3.711
190101,Southern Southeast Alaska,2000,hemlock sawfly,15327,1379.43,80.393
190101,Southern Southeast Alaska,2000,spruce aphid,1874,168.66,9.83
190101,Southern Southeast Alaska,2000,mud-land slide,684,61.56,3.588
190101,Southern Southeast Alaska,2000,spruce beetle,483,43.47,2.533
190101,Southern Southeast Alaska,2000,wind-tornado/hurricane,270,24.3,1.416
190101,Southern Southeast Alaska,2000,flooding-high water,203,18.27,1.065
190101,Southern Southeast Alaska,2000,common porcupine,129,11.61,0.677
190101,Southern Southeast Alaska,2000,fire,95,8.55,0.498
190101,Southern Southeast Alaska,2001,spruce aphid,5765,518.85,37.709
190101,Southern Southeast Alaska,2001,hemlock sawfly,3807,342.63,24.902
190101,Southern Southeast Alaska,2001,yellow-cedar decline,2800,252.0,18.315
190101,Southern Southeast Alaska,2001,flooding-high water,1998,179.82,13.069
190101,Southern Southeast Alaska,2001,hemlock canker,314,28.26,2.054
190101,Southern Southeast Alaska,2001,large-spored spruce-Labrador tea rust,295,26.55,1.93
190101,Southern Southeast Alaska,2001,mud-land slide,196,17.64,1.282
190101,Southern Southeast Alaska,2001,defoliators,57,5.13,0.373
190101,Southern Southeast Alaska,2001,common porcupine,56,5.04,0.366
