dataset,aoi,year,change_class,Event_type,In_Park,Dist_name,Chnge_type,pct_own_area_outside,centroid_dist_to_aoi_m
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,37.71941408292197,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,52.83846525169989,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,51.40034488571666,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,40.84807533129181,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,12.5773677654003,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,1.0652631231582153,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,30.905371344272417,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,28.984035046411137,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,42.27985388620205,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,19.149339971875467,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,3.657748987176706,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,2.2584330420902394,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,39.31528282848371,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,0.4350454150843963,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,0.09583185406982607,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,19.82373400033659,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,11.840802382276802,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,34.634440357426776,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,21.49760915165105,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,10.93094408963049,0.0
