subregion,subregion_name,year,native_class,pixel_count,area_ha
1,Coast Range,1997,Branch flagging,280,25.2
1,Coast Range,1997,Crown Dieback,28,2.52
1,Coast Range,1997,Crown Discoloration,10495,944.55
1,Coast Range,1997,Defoliation,9219,829.71
1,Coast Range,1997,Main stem Broken or Uprooted,3462,311.58
1,Coast Range,1997,Mortality,80045,7204.05
1,Coast Range,1997,No Data,80,7.2
1,Coast Range,1998,Branch flagging,1711,153.99
1,Coast Range,1998,Crown Dieback,2463,221.67
1,Coast Range,1998,Crown Discoloration,590,53.1
1,Coast Range,1998,Defoliation,92604,8334.36
1,Coast Range,1998,Main stem Broken or Uprooted,80,7.2
1,Coast Range,1998,Mortality,59205,5328.45
1,Coast Range,1998,No damage,121,10.89
1,Coast Range,1998,Topkill,42,3.78
1,Coast Range,1999,Crown Dieback,514,46.26
1,Coast Range,1999,Crown Discoloration,905,81.45
1,Coast Range,1999,Defoliation,1627,146.43
1,Coast Range,1999,Main stem Broken or Uprooted,182,16.38
1,Coast Range,1999,Mortality,73177,6585.93
1,Coast Range,1999,No damage,1487,133.83
1,Coast Range,1999,Topkill,303,27.27
1,Coast Range,2000,Branch flagging,454,40.86
1,Coast Range,2000,Crown Discoloration,1406,126.54
1,Coast Range,2000,Defoliation,447,40.23
1,Coast Range,2000,Main stem Broken or Uprooted,1470,132.3
1,Coast Range,2000,Mortality,166074,14946.66
1,Coast Range,2001,Branch flagging,606,54.54
1,Coast Range,2001,Crown Dieback,12178,1096.02
1,Coast Range,2001,Crown Discoloration,377,33.93
1,Coast Range,2001,Defoliation,41927,3773.43
1,Coast Range,2001,Main stem Broken or Uprooted,595,53.55
1,Coast Range,2001,Mortality,200067,18006.03
1,Coast Range,2002,Branch flagging,2351,211.59
1,Coast Range,2002,Crown Dieback,16186,1456.74
1,Coast Range,2002,Crown Discoloration,275,24.75
1,Coast Range,2002,Defoliation,414842,37335.78
1,Coast Range,2002,Main stem Broken or Uprooted,2968,267.12
