source,subregion,subregion_name,native_class,pixel_count,area_ha,spatial_prevalence_pct
ADS_R6_DCA,1,Coast Range,fir engraver,565478,50893.02,2.112
ADS_R6_DCA,1,Coast Range,Port-Orford-cedar root disease,562116,50590.44,2.099
ADS_R6_DCA,1,Coast Range,wind-tornado/hurricane,271995,24479.55,1.016
ADS_R6_DCA,1,Coast Range,root disease or bears,268032,24122.88,1.001
ADS_R6_DCA,1,Coast Range,spruce aphid,256705,23103.45,0.959
ADS_R6_DCA,1,Coast Range,hemlock decline,203115,18280.35,0.759
ADS_R6_DCA,1,Coast Range,balsam woolly adelgid,167691,15092.19,0.626
ADS_R6_DCA,1,Coast Range,needlecast,100729,9065.61,0.376
ADS_R6_DCA,1,Coast Range,western tent caterpillar,95165,8564.85,0.355
ADS_R6_DCA,1,Coast Range,western blackheaded budworm,65641,5907.69,0.245
ADS_R6_DCA,1,Coast Range,Cytospora canker of fir,49376,4443.84,0.184
ADS_R6_DCA,1,Coast Range,Douglas-fir engraver,44498,4004.82,0.166
ADS_R6_DCA,1,Coast Range,root diseases/decay,33851,3046.59,0.126
ADS_R6_DCA,1,Coast Range,snow-ice,26546,2389.14,0.099
ADS_R6_DCA,1,Coast Range,decline complex,26317,2368.53,0.098
ADS_R6_DCA,1,Coast Range,flatheaded fir borer,24738,2226.42,0.092
ADS_R6_DCA,1,Coast Range,flooding-high water,20256,1823.04,0.076
ADS_R6_DCA,1,Coast Range,frost,19588,1762.92,0.073
ADS_R6_DCA,1,Coast Range,winter injury,19256,1733.04,0.072
ADS_R6_DCA,1,Coast Range,mountain pine beetle,19106,1719.54,0.071
ADS_R6_DCA,1,Coast Range,flatheaded borer,18163,1634.67,0.068
ADS_R6_DCA,1,Coast Range,unknown root disease or decay,17047,1534.23,0.064
ADS_R6_DCA,1,Coast Range,unknown defoliator,16576,1491.84,0.062
ADS_R6_DCA,1,Coast Range,foliage discoloration,16360,1472.4,0.061
ADS_R6_DCA,1,Coast Range,western balsam bark beetle,16158,1454.22,0.06
ADS_R6_DCA,1,Coast Range,spruce beetle,13201,1188.09,0.049
ADS_R6_DCA,1,Coast Range,fire,10438,939.42,0.039
ADS_R6_DCA,1,Coast Range,western pine beetle,7913,712.17,0.03
ADS_R6_DCA,1,Coast Range,sawflies,7620,685.8,0.028
ADS_R6_DCA,1,Coast Range,mud-land slide,6386,574.74,0.024
ADS_R6_DCA,1,Coast Range,hardwood leaf rusts,6236,561.24,0.023
ADS_R6_DCA,1,Coast Range,Douglas-fir rust,5688,511.92,0.021
ADS_R6_DCA,1,Coast Range,drought,5428,488.52,0.02
ADS_R6_DCA,1,Coast Range,tent caterpillars,4662,419.58,0.017
ADS_R6_DCA,1,Coast Range,mortality,4651,418.59,0.017
ADS_R6_DCA,1,Coast Range,white pine blister rust,4316,388.44,0.016
ADS_R6_DCA,1,Coast Range,pine engraver,4072,366.48,0.015
ADS_R6_DCA,1,Coast Range,black stain root disease,3697,332.73,0.014
ADS_R6_DCA,1,Coast Range,maple decline,3174,285.66,0.012
ADS_R6_DCA,1,Coast Range,Lophodermium needle cast of pines,2432,218.88,0.009
ADS_R6_DCA,1,Coast Range,gorse,1882,169.38,0.007
ADS_R6_DCA,1,Coast Range,wild fire,1779,160.11,0.007
ADS_R6_DCA,1,Coast Range,oak pit scale A. minus,1092,98.28,0.004
ADS_R6_DCA,1,Coast Range,leaf rusts of hardwoods,985,88.65,0.004
ADS_R6_DCA,1,Coast Range,"other pest complex, known (code pending)",983,88.47,0.004
ADS_R6_DCA,1,Coast Range,pine needle sheathminer,519,46.71,0.002
ADS_R6_DCA,1,Coast Range,Pacific madrone decline,456,41.04,0.002
ADS_R6_DCA,1,Coast Range,silver fir beetle,313,28.17,0.001
ADS_R6_DCA,1,Coast Range,hemlock sawfly,252,22.68,0.001
ADS_R6_DCA,1,Coast Range,alder flea beetle,230,20.7,0.001
ADS_R6_DCA,1,Coast Range,false hemlock looper,132,11.88,0.0
ADS_R6_DCA,1,Coast Range,ips engraver beetles,129,11.61,0.0
ADS_R6_DCA,1,Coast Range,"other root disease or decay, known (code pending)",45,4.05,0.0
ADS_R6_DCA,1,Coast Range,larch needle cast,28,2.52,0.0
ADS_R6_DCA,1,Coast Range,hail,16,1.44,0.0
ADS_R6_DCA,1,Coast Range,ponderosa pine sawfly,14,1.26,0.0
ADS_R6_DCA,4,Cascades,mountain pine beetle,7375840,663825.6,24.443
ADS_R6_DCA,4,Cascades,bears,6555845,590026.05,21.725
ADS_R6_DCA,4,Cascades,fir engraver,5282060,475385.4,17.504
ADS_R6_DCA,4,Cascades,balsam woolly adelgid,4070361,366332.49,13.489
ADS_R6_DCA,4,Cascades,western spruce budworm,2532420,227917.8,8.392
ADS_R6_DCA,4,Cascades,Douglas-fir beetle,1921559,172940.31,6.368
ADS_R6_DCA,4,Cascades,Cytospora canker of fir,1215246,109372.14,4.027
ADS_R6_DCA,4,Cascades,flatheaded fir borer,784456,70601.04,2.6
ADS_R6_DCA,4,Cascades,western pine beetle,296107,26649.63,0.981
ADS_R6_DCA,4,Cascades,western balsam bark beetle,272879,24559.11,0.904
ADS_R6_DCA,4,Cascades,needlecast,203063,18275.67,0.673
ADS_R6_DCA,4,Cascades,root disease or bears,198846,17896.14,0.659
ADS_R6_DCA,4,Cascades,larch casebearer,192061,17285.49,0.636
ADS_R6_DCA,4,Cascades,silver fir beetle,171237,15411.33,0.567
ADS_R6_DCA,4,Cascades,unknown,147868,13308.12,0.49
ADS_R6_DCA,4,Cascades,Lophodermium needle cast of pines,134871,12138.39,0.447
ADS_R6_DCA,4,Cascades,fire,134819,12133.71,0.447
ADS_R6_DCA,4,Cascades,flatheaded borer,98243,8841.87,0.326
ADS_R6_DCA,4,Cascades,wild fire,85196,7667.64,0.282
ADS_R6_DCA,4,Cascades,larch needle cast,75032,6752.88,0.249
ADS_R6_DCA,4,Cascades,white pine blister rust,66131,5951.79,0.219
ADS_R6_DCA,4,Cascades,hemlock decline,57595,5183.55,0.191
ADS_R6_DCA,4,Cascades,winter injury,54839,4935.51,0.182
ADS_R6_DCA,4,Cascades,drought,49354,4441.86,0.164
ADS_R6_DCA,4,Cascades,Douglas-fir engraver,48162,4334.58,0.16
ADS_R6_DCA,4,Cascades,heat,44300,3987.0,0.147
ADS_R6_DCA,4,Cascades,Lophodermella needle cast of pines,31879,2869.11,0.106
ADS_R6_DCA,4,Cascades,root diseases/decay,26550,2389.5,0.088
ADS_R6_DCA,4,Cascades,frost,25747,2317.23,0.085
ADS_R6_DCA,4,Cascades,Swiss needle cast,25069,2256.21,0.083
